competitor,mean_difference_hcrd_minus_competitor,bootstrap_95_low,bootstrap_95_high,hcrd_win_rate,exact_sign_p,holm_adjusted_p
emd_residue,-0.010786271128931766,-0.014287392047888467,-0.007607353761486096,1.0,1.7763568394002505e-15,1.0658141036401503e-14
gaussian_oracle,-0.03782223285828502,-0.050361820487769,-0.026377093746830435,1.0,1.7763568394002505e-15,1.0658141036401503e-14
hcrd_adaptive_guided,-0.01270727944826997,-0.015078909577954408,-0.0103338551156298,1.0,1.7763568394002505e-15,1.0658141036401503e-14
hcrd_thresholded,0.0,0.0,0.0,0.0,1.0,1.0
l1_trend_oracle,-0.04246593792263153,-0.04820402224510357,-0.03688792332483828,1.0,1.7763568394002505e-15,1.0658141036401503e-14
vmd_low_mode,-0.510729803182178,-0.8332900868829477,-0.244717553302275,1.0,1.7763568394002505e-15,1.0658141036401503e-14
