noise_sigma,trial,signal_seed,ceemdan_noise_seed,method,parameter,baseline_mse,ceemdan_reconstruction_error,ceemdan_seconds
0.0,13,20261214,120261214,hcrd_thresholded,z=3.5,1.4195302712667398e-33,0.0,1.571893799933605
0.0,14,20261215,120261215,ceemdan_final,tail=1,0.042517735878384866,0.0,2.049647800042294
0.0,14,20261215,120261215,ceemdan_oracle_tail,tail=1,0.042517735878384866,0.0,2.049647800042294
0.0,14,20261215,120261215,hcrd_centered,none,0.0,0.0,2.049647800042294
0.0,14,20261215,120261215,hcrd_thresholded,z=3.5,1.563525383645731e-31,0.0,2.049647800042294
0.0,15,20261216,120261216,ceemdan_final,tail=1,0.004959658961445914,0.0,1.6242712000384927
0.0,15,20261216,120261216,ceemdan_oracle_tail,tail=1,0.004959658961445914,0.0,1.6242712000384927
0.0,15,20261216,120261216,hcrd_centered,none,0.0,0.0,1.6242712000384927
0.0,15,20261216,120261216,hcrd_thresholded,z=3.5,4.933228336148317e-33,0.0,1.6242712000384927
0.0,16,20261217,120261217,ceemdan_final,tail=1,0.002563204412010189,0.0,1.7879426999716088
0.0,16,20261217,120261217,ceemdan_oracle_tail,tail=1,0.002563204412010189,0.0,1.7879426999716088
0.0,16,20261217,120261217,hcrd_centered,none,0.0,0.0,1.7879426999716088
0.0,16,20261217,120261217,hcrd_thresholded,z=3.5,6.990301370133905e-33,0.0,1.7879426999716088
0.0,17,20261218,120261218,ceemdan_final,tail=1,0.00784037772002817,0.0,1.7951541999354959
0.0,17,20261218,120261218,ceemdan_oracle_tail,tail=1,0.00784037772002817,0.0,1.7951541999354959
0.0,17,20261218,120261218,hcrd_centered,none,0.0,0.0,1.7951541999354959
0.0,17,20261218,120261218,hcrd_thresholded,z=3.5,1.1673795794232787e-32,0.0,1.7951541999354959
0.0,18,20261219,120261219,ceemdan_final,tail=1,0.043927189023376584,0.0,2.0490093999542296
0.0,18,20261219,120261219,ceemdan_oracle_tail,tail=1,0.043927189023376584,0.0,2.0490093999542296
0.0,18,20261219,120261219,hcrd_centered,none,0.0,0.0,2.0490093999542296
0.0,18,20261219,120261219,hcrd_thresholded,z=3.5,6.776875359176129e-32,0.0,2.0490093999542296
0.0,19,20261220,120261220,ceemdan_final,tail=1,0.0026372630867212104,0.0,1.7394784999778494
0.0,19,20261220,120261220,ceemdan_oracle_tail,tail=1,0.0026372630867212104,0.0,1.7394784999778494
0.0,19,20261220,120261220,hcrd_centered,none,0.0,0.0,1.7394784999778494
0.0,19,20261220,120261220,hcrd_thresholded,z=3.5,2.2670518551596364e-32,0.0,1.7394784999778494
0.0,20,20261221,120261221,ceemdan_final,tail=1,0.0028500804772645916,0.0,1.7763891000067815
0.0,20,20261221,120261221,ceemdan_oracle_tail,tail=1,0.0028500804772645916,0.0,1.7763891000067815
0.0,20,20261221,120261221,hcrd_centered,none,0.0,0.0,1.7763891000067815
0.0,20,20261221,120261221,hcrd_thresholded,z=3.5,2.842432793408866e-33,0.0,1.7763891000067815
0.0,21,20261222,120261222,ceemdan_final,tail=1,0.021014184316421915,0.0,1.769372999900952
0.0,21,20261222,120261222,ceemdan_oracle_tail,tail=2,0.016692014734101108,0.0,1.769372999900952
0.0,21,20261222,120261222,hcrd_centered,none,0.0,0.0,1.769372999900952
0.0,21,20261222,120261222,hcrd_thresholded,z=3.5,9.340385535736384e-33,0.0,1.769372999900952
0.0,22,20261223,120261223,ceemdan_final,tail=1,0.024978685751101754,0.0,1.5212543999077752
0.0,22,20261223,120261223,ceemdan_oracle_tail,tail=1,0.024978685751101754,0.0,1.5212543999077752
0.0,22,20261223,120261223,hcrd_centered,none,0.0,0.0,1.5212543999077752
0.0,22,20261223,120261223,hcrd_thresholded,z=3.5,3.3992288823893003e-32,0.0,1.5212543999077752
0.0,23,20261224,120261224,ceemdan_final,tail=1,0.03193283522212108,0.0,2.028779999935068
0.0,23,20261224,120261224,ceemdan_oracle_tail,tail=1,0.03193283522212108,0.0,2.028779999935068
0.0,23,20261224,120261224,hcrd_centered,none,0.0,0.0,2.028779999935068
0.0,23,20261224,120261224,hcrd_thresholded,z=3.5,7.788850377425359e-32,0.0,2.028779999935068
0.0,24,20261225,120261225,ceemdan_final,tail=1,0.004401996079031119,0.0,1.7738412999315187
0.0,24,20261225,120261225,ceemdan_oracle_tail,tail=1,0.004401996079031119,0.0,1.7738412999315187
0.0,24,20261225,120261225,hcrd_centered,none,0.0,0.0,1.7738412999315187
0.0,24,20261225,120261225,hcrd_thresholded,z=3.5,6.561051303151411e-32,0.0,1.7738412999315187
0.0,25,20261226,120261226,ceemdan_final,tail=1,0.02677918372072794,0.0,2.174196100095287
0.0,25,20261226,120261226,ceemdan_oracle_tail,tail=1,0.02677918372072794,0.0,2.174196100095287
0.0,25,20261226,120261226,hcrd_centered,none,0.0,0.0,2.174196100095287
0.0,25,20261226,120261226,hcrd_thresholded,z=3.5,8.98307682076213e-32,0.0,2.174196100095287
0.0,26,20261227,120261227,ceemdan_final,tail=1,0.04006878370959855,0.0,2.037046399898827
0.0,26,20261227,120261227,ceemdan_oracle_tail,tail=1,0.04006878370959855,0.0,2.037046399898827
0.0,26,20261227,120261227,hcrd_centered,none,0.0,0.0,2.037046399898827
0.0,26,20261227,120261227,hcrd_thresholded,z=3.5,1.433071732004124e-31,0.0,2.037046399898827
0.0,27,20261228,120261228,ceemdan_final,tail=1,4.830964588861226e-06,0.0,1.8301739000016823
0.0,27,20261228,120261228,ceemdan_oracle_tail,tail=1,4.830964588861226e-06,0.0,1.8301739000016823
0.0,27,20261228,120261228,hcrd_centered,none,0.0,0.0,1.8301739000016823
0.0,27,20261228,120261228,hcrd_thresholded,z=3.5,2.8776540803295665e-33,0.0,1.8301739000016823
0.0,28,20261229,120261229,ceemdan_final,tail=1,0.0025166051991348166,0.0,2.10003820003476
0.0,28,20261229,120261229,ceemdan_oracle_tail,tail=1,0.0025166051991348166,0.0,2.10003820003476
0.0,28,20261229,120261229,hcrd_centered,none,0.0,0.0,2.10003820003476
0.0,28,20261229,120261229,hcrd_thresholded,z=3.5,3.7025815833573754e-32,0.0,2.10003820003476
0.0,29,20261230,120261230,ceemdan_final,tail=1,0.0005289193207786827,0.0,1.9127143000951037
0.0,29,20261230,120261230,ceemdan_oracle_tail,tail=1,0.0005289193207786827,0.0,1.9127143000951037
0.0,29,20261230,120261230,hcrd_centered,none,0.0,0.0,1.9127143000951037
0.0,29,20261230,120261230,hcrd_thresholded,z=3.5,6.933722494335759e-34,0.0,1.9127143000951037
0.0,30,20261231,120261231,ceemdan_final,tail=1,0.021809547504979647,0.0,1.738496399950236
0.0,30,20261231,120261231,ceemdan_oracle_tail,tail=1,0.021809547504979647,0.0,1.738496399950236
0.0,30,20261231,120261231,hcrd_centered,none,0.0,0.0,1.738496399950236
0.0,30,20261231,120261231,hcrd_thresholded,z=3.5,3.880036918311032e-32,0.0,1.738496399950236
0.0,31,20261232,120261232,ceemdan_final,tail=1,0.006478519829897567,0.0,1.5946062000002712
0.0,31,20261232,120261232,ceemdan_oracle_tail,tail=1,0.006478519829897567,0.0,1.5946062000002712
0.0,31,20261232,120261232,hcrd_centered,none,0.0,0.0,1.5946062000002712
0.0,31,20261232,120261232,hcrd_thresholded,z=3.5,2.0335422167662268e-32,0.0,1.5946062000002712
0.0,32,20261233,120261233,ceemdan_final,tail=1,0.048392890598587,0.0,2.1645093999104574
0.0,32,20261233,120261233,ceemdan_oracle_tail,tail=1,0.048392890598587,0.0,2.1645093999104574
0.0,32,20261233,120261233,hcrd_centered,none,0.0,0.0,2.1645093999104574
0.0,32,20261233,120261233,hcrd_thresholded,z=3.5,1.208614713738418e-31,0.0,2.1645093999104574
0.0,33,20261234,120261234,ceemdan_final,tail=1,0.02802327606443056,0.0,1.84360350004863
0.0,33,20261234,120261234,ceemdan_oracle_tail,tail=2,0.027074107820050687,0.0,1.84360350004863
0.0,33,20261234,120261234,hcrd_centered,none,0.0,0.0,1.84360350004863
0.0,33,20261234,120261234,hcrd_thresholded,z=3.5,5.769696431060781e-32,0.0,1.84360350004863
0.0,34,20261235,120261235,ceemdan_final,tail=1,0.02012849139959699,0.0,1.7021375000476837
0.0,34,20261235,120261235,ceemdan_oracle_tail,tail=1,0.02012849139959699,0.0,1.7021375000476837
0.0,34,20261235,120261235,hcrd_centered,none,0.0,0.0,1.7021375000476837
0.0,34,20261235,120261235,hcrd_thresholded,z=3.5,2.224786310854796e-32,0.0,1.7021375000476837
0.0,35,20261236,120261236,ceemdan_final,tail=1,0.0028753596516844834,0.0,1.7334249999839813
0.0,35,20261236,120261236,ceemdan_oracle_tail,tail=1,0.0028753596516844834,0.0,1.7334249999839813
0.0,35,20261236,120261236,hcrd_centered,none,0.0,0.0,1.7334249999839813
0.0,35,20261236,120261236,hcrd_thresholded,z=3.5,4.310486007826996e-33,0.0,1.7334249999839813
0.0,36,20261237,120261237,ceemdan_final,tail=1,0.02027709221024873,0.0,1.7023746999911964
0.0,36,20261237,120261237,ceemdan_oracle_tail,tail=1,0.02027709221024873,0.0,1.7023746999911964
0.0,36,20261237,120261237,hcrd_centered,none,0.0,0.0,1.7023746999911964
0.0,36,20261237,120261237,hcrd_thresholded,z=3.5,3.0539103927497525e-32,0.0,1.7023746999911964
0.0,37,20261238,120261238,ceemdan_final,tail=1,0.0014463744834836677,0.0,1.6965280999429524
0.0,37,20261238,120261238,ceemdan_oracle_tail,tail=1,0.0014463744834836677,0.0,1.6965280999429524
0.0,37,20261238,120261238,hcrd_centered,none,0.0,0.0,1.6965280999429524
0.0,37,20261238,120261238,hcrd_thresholded,z=3.5,1.8524898142121583e-33,0.0,1.6965280999429524
0.0,38,20261239,120261239,ceemdan_final,tail=1,0.019767626764767635,0.0,1.5713605999480933
0.0,38,20261239,120261239,ceemdan_oracle_tail,tail=1,0.019767626764767635,0.0,1.5713605999480933
0.0,38,20261239,120261239,hcrd_centered,none,0.0,0.0,1.5713605999480933
0.0,38,20261239,120261239,hcrd_thresholded,z=3.5,8.479487356704456e-32,0.0,1.5713605999480933
0.0,39,20261240,120261240,ceemdan_final,tail=1,0.007346363514896849,0.0,1.9033704000758007
0.0,39,20261240,120261240,ceemdan_oracle_tail,tail=1,0.007346363514896849,0.0,1.9033704000758007
0.0,39,20261240,120261240,hcrd_centered,none,0.0,0.0,1.9033704000758007
0.0,39,20261240,120261240,hcrd_thresholded,z=3.5,1.7697572594026834e-32,0.0,1.9033704000758007
0.0,40,20261241,120261241,ceemdan_final,tail=1,0.044585612707265014,0.0,1.9886125000193715
0.0,40,20261241,120261241,ceemdan_oracle_tail,tail=1,0.044585612707265014,0.0,1.9886125000193715
0.0,40,20261241,120261241,hcrd_centered,none,0.0,0.0,1.9886125000193715
0.0,40,20261241,120261241,hcrd_thresholded,z=3.5,8.129372776931025e-32,0.0,1.9886125000193715
0.0,41,20261242,120261242,ceemdan_final,tail=1,0.002361520300079204,0.0,1.8004374000011012
0.0,41,20261242,120261242,ceemdan_oracle_tail,tail=1,0.002361520300079204,0.0,1.8004374000011012
0.0,41,20261242,120261242,hcrd_centered,none,0.0,0.0,1.8004374000011012
0.0,41,20261242,120261242,hcrd_thresholded,z=3.5,5.6691284160659294e-33,0.0,1.8004374000011012
0.0,42,20261243,120261243,ceemdan_final,tail=1,4.607882651021906e-06,0.0,1.930475400062278
0.0,42,20261243,120261243,ceemdan_oracle_tail,tail=1,4.607882651021906e-06,0.0,1.930475400062278
0.0,42,20261243,120261243,hcrd_centered,none,0.0,0.0,1.930475400062278
0.0,42,20261243,120261243,hcrd_thresholded,z=3.5,7.0742329474768504e-34,0.0,1.930475400062278
0.0,43,20261244,120261244,ceemdan_final,tail=1,0.0016712116750379358,0.0,1.8318700999952853
0.0,43,20261244,120261244,ceemdan_oracle_tail,tail=1,0.0016712116750379358,0.0,1.8318700999952853
0.0,43,20261244,120261244,hcrd_centered,none,0.0,0.0,1.8318700999952853
0.0,43,20261244,120261244,hcrd_thresholded,z=3.5,4.91224544181258e-34,0.0,1.8318700999952853
0.0,44,20261245,120261245,ceemdan_final,tail=1,0.011441666335885836,0.0,1.5385681999614462
0.0,44,20261245,120261245,ceemdan_oracle_tail,tail=1,0.011441666335885836,0.0,1.5385681999614462
0.0,44,20261245,120261245,hcrd_centered,none,0.0,0.0,1.5385681999614462
0.0,44,20261245,120261245,hcrd_thresholded,z=3.5,2.1150757490422312e-32,0.0,1.5385681999614462
0.0,45,20261246,120261246,ceemdan_final,tail=1,0.05932540528207502,0.0,1.857033200096339
0.0,45,20261246,120261246,ceemdan_oracle_tail,tail=1,0.05932540528207502,0.0,1.857033200096339
0.0,45,20261246,120261246,hcrd_centered,none,0.0,0.0,1.857033200096339
0.0,45,20261246,120261246,hcrd_thresholded,z=3.5,1.846494701544805e-32,0.0,1.857033200096339
0.0,46,20261247,120261247,ceemdan_final,tail=1,0.000985242580947358,0.0,1.7046036999672651
0.0,46,20261247,120261247,ceemdan_oracle_tail,tail=1,0.000985242580947358,0.0,1.7046036999672651
0.0,46,20261247,120261247,hcrd_centered,none,0.0,0.0,1.7046036999672651
0.0,46,20261247,120261247,hcrd_thresholded,z=3.5,8.057431424922786e-33,0.0,1.7046036999672651
0.0,47,20261248,120261248,ceemdan_final,tail=1,0.0006429148657395439,0.0,1.8969654999673367
0.0,47,20261248,120261248,ceemdan_oracle_tail,tail=1,0.0006429148657395439,0.0,1.8969654999673367
0.0,47,20261248,120261248,hcrd_centered,none,0.0,0.0,1.8969654999673367
0.0,47,20261248,120261248,hcrd_thresholded,z=3.5,3.933355951596305e-34,0.0,1.8969654999673367
0.0,48,20261249,120261249,ceemdan_final,tail=1,0.018431540276779165,0.0,1.8805029999930412
0.0,48,20261249,120261249,ceemdan_oracle_tail,tail=1,0.018431540276779165,0.0,1.8805029999930412
0.0,48,20261249,120261249,hcrd_centered,none,0.0,0.0,1.8805029999930412
0.0,48,20261249,120261249,hcrd_thresholded,z=3.5,2.8248970888568575e-32,0.0,1.8805029999930412
0.0,49,20261250,120261250,ceemdan_final,tail=1,0.0007819038795441537,0.0,1.5401698999339715
0.0,49,20261250,120261250,ceemdan_oracle_tail,tail=1,0.0007819038795441537,0.0,1.5401698999339715
