noise_sigma,trial,signal_seed,ceemdan_noise_seed,method,parameter,baseline_mse,ceemdan_reconstruction_error,ceemdan_seconds
0.03,19,20271220,120271220,ceemdan_oracle_tail,tail=1,0.0021704794565588366,0.0,2.1675900000846013
0.03,19,20271220,120271220,hcrd_centered,none,0.6326542188367092,0.0,2.1675900000846013
0.03,19,20271220,120271220,hcrd_thresholded,z=3.5,0.00021992678176599914,0.0,2.1675900000846013
0.03,20,20271221,120271221,ceemdan_final,tail=1,0.0006745989030033486,0.0,2.05133350007236
0.03,20,20271221,120271221,ceemdan_oracle_tail,tail=1,0.0006745989030033486,0.0,2.05133350007236
0.03,20,20271221,120271221,hcrd_centered,none,0.5325689564096274,0.0,2.05133350007236
0.03,20,20271221,120271221,hcrd_thresholded,z=3.5,0.00058154028856395,0.0,2.05133350007236
0.03,21,20271222,120271222,ceemdan_final,tail=1,0.020540985093128666,0.0,2.362089900067076
0.03,21,20271222,120271222,ceemdan_oracle_tail,tail=1,0.020540985093128666,0.0,2.362089900067076
0.03,21,20271222,120271222,hcrd_centered,none,1.064874608966682,0.0,2.362089900067076
0.03,21,20271222,120271222,hcrd_thresholded,z=3.5,7.756665065652235e-05,0.0,2.362089900067076
0.03,22,20271223,120271223,ceemdan_final,tail=1,0.008636548559818597,0.0,1.9457219000905752
0.03,22,20271223,120271223,ceemdan_oracle_tail,tail=1,0.008636548559818597,0.0,1.9457219000905752
0.03,22,20271223,120271223,hcrd_centered,none,0.8161146888590586,0.0,1.9457219000905752
0.03,22,20271223,120271223,hcrd_thresholded,z=3.5,0.00014311789178563178,0.0,1.9457219000905752
0.03,23,20271224,120271224,ceemdan_final,tail=1,0.0015888945108987894,0.0,1.6372301999945194
0.03,23,20271224,120271224,ceemdan_oracle_tail,tail=1,0.0015888945108987894,0.0,1.6372301999945194
0.03,23,20271224,120271224,hcrd_centered,none,1.1053214378563414,0.0,1.6372301999945194
0.03,23,20271224,120271224,hcrd_thresholded,z=3.5,0.0005607196766227936,0.0,1.6372301999945194
0.03,24,20271225,120271225,ceemdan_final,tail=1,0.019421847516359135,0.0,1.8467636000132188
0.03,24,20271225,120271225,ceemdan_oracle_tail,tail=1,0.019421847516359135,0.0,1.8467636000132188
0.03,24,20271225,120271225,hcrd_centered,none,0.958102931497815,0.0,1.8467636000132188
0.03,24,20271225,120271225,hcrd_thresholded,z=3.5,0.001337905327365065,0.0,1.8467636000132188
0.03,25,20271226,120271226,ceemdan_final,tail=1,0.0014560481525298843,0.0,1.9320798999397084
0.03,25,20271226,120271226,ceemdan_oracle_tail,tail=1,0.0014560481525298843,0.0,1.9320798999397084
0.03,25,20271226,120271226,hcrd_centered,none,0.614846246084954,0.0,1.9320798999397084
0.03,25,20271226,120271226,hcrd_thresholded,z=3.5,0.0005941062131533341,0.0,1.9320798999397084
0.03,26,20271227,120271227,ceemdan_final,tail=1,0.0053676173104601,0.0,1.8581193999852985
0.03,26,20271227,120271227,ceemdan_oracle_tail,tail=1,0.0053676173104601,0.0,1.8581193999852985
0.03,26,20271227,120271227,hcrd_centered,none,0.8855752106266019,0.0,1.8581193999852985
0.03,26,20271227,120271227,hcrd_thresholded,z=3.5,1.0892408004307079e-05,0.0,1.8581193999852985
0.03,27,20271228,120271228,ceemdan_final,tail=1,0.02216640170843562,0.0,1.8181077999761328
0.03,27,20271228,120271228,ceemdan_oracle_tail,tail=1,0.02216640170843562,0.0,1.8181077999761328
0.03,27,20271228,120271228,hcrd_centered,none,1.1230253817381401,0.0,1.8181077999761328
0.03,27,20271228,120271228,hcrd_thresholded,z=3.5,0.00015259045064533038,0.0,1.8181077999761328
0.03,28,20271229,120271229,ceemdan_final,tail=1,0.0027748799381334963,0.0,1.8261591999325901
0.03,28,20271229,120271229,ceemdan_oracle_tail,tail=1,0.0027748799381334963,0.0,1.8261591999325901
0.03,28,20271229,120271229,hcrd_centered,none,0.7658011646774622,0.0,1.8261591999325901
0.03,28,20271229,120271229,hcrd_thresholded,z=3.5,0.0001950201361622064,0.0,1.8261591999325901
0.03,29,20271230,120271230,ceemdan_final,tail=1,0.002096678162769081,0.0,1.7498671000357717
0.03,29,20271230,120271230,ceemdan_oracle_tail,tail=1,0.002096678162769081,0.0,1.7498671000357717
0.03,29,20271230,120271230,hcrd_centered,none,1.0120796788992303,0.0,1.7498671000357717
0.03,29,20271230,120271230,hcrd_thresholded,z=3.5,0.00010842907756977678,0.0,1.7498671000357717
0.03,30,20271231,120271231,ceemdan_final,tail=1,0.015109119993037615,0.0,1.7292976999888197
0.03,30,20271231,120271231,ceemdan_oracle_tail,tail=1,0.015109119993037615,0.0,1.7292976999888197
0.03,30,20271231,120271231,hcrd_centered,none,0.4566826467878032,0.0,1.7292976999888197
0.03,30,20271231,120271231,hcrd_thresholded,z=3.5,0.0015010556435184953,0.0,1.7292976999888197
0.03,31,20271232,120271232,ceemdan_final,tail=1,0.0034066526400369163,0.0,1.9863085999386385
0.03,31,20271232,120271232,ceemdan_oracle_tail,tail=1,0.0034066526400369163,0.0,1.9863085999386385
0.03,31,20271232,120271232,hcrd_centered,none,0.4324900877289192,0.0,1.9863085999386385
0.03,31,20271232,120271232,hcrd_thresholded,z=3.5,0.0001936152066227044,0.0,1.9863085999386385
0.03,32,20271233,120271233,ceemdan_final,tail=1,0.0028065834087846,0.0,1.5333282999927178
0.03,32,20271233,120271233,ceemdan_oracle_tail,tail=1,0.0028065834087846,0.0,1.5333282999927178
0.03,32,20271233,120271233,hcrd_centered,none,1.0234211942081923,0.0,1.5333282999927178
0.03,32,20271233,120271233,hcrd_thresholded,z=3.5,2.6110928155008382e-05,0.0,1.5333282999927178
0.03,33,20271234,120271234,ceemdan_final,tail=1,0.0024186018408277696,0.0,2.073476199992001
0.03,33,20271234,120271234,ceemdan_oracle_tail,tail=1,0.0024186018408277696,0.0,2.073476199992001
0.03,33,20271234,120271234,hcrd_centered,none,0.5570329111528368,0.0,2.073476199992001
0.03,33,20271234,120271234,hcrd_thresholded,z=3.5,0.00021410952874226469,0.0,2.073476199992001
0.03,34,20271235,120271235,ceemdan_final,tail=1,0.024352124207693164,0.0,2.149279300007038
0.03,34,20271235,120271235,ceemdan_oracle_tail,tail=1,0.024352124207693164,0.0,2.149279300007038
0.03,34,20271235,120271235,hcrd_centered,none,0.9548341145348739,0.0,2.149279300007038
0.03,34,20271235,120271235,hcrd_thresholded,z=3.5,0.0009482617565931067,0.0,2.149279300007038
0.03,35,20271236,120271236,ceemdan_final,tail=1,0.012937028093818305,0.0,2.106573299970478
0.03,35,20271236,120271236,ceemdan_oracle_tail,tail=1,0.012937028093818305,0.0,2.106573299970478
0.03,35,20271236,120271236,hcrd_centered,none,0.4792692053096576,0.0,2.106573299970478
0.03,35,20271236,120271236,hcrd_thresholded,z=3.5,0.00029288428047512157,0.0,2.106573299970478
0.03,36,20271237,120271237,ceemdan_final,tail=1,0.018146260905680982,0.0,2.1670970000559464
0.03,36,20271237,120271237,ceemdan_oracle_tail,tail=1,0.018146260905680982,0.0,2.1670970000559464
0.03,36,20271237,120271237,hcrd_centered,none,0.7223895776702369,0.0,2.1670970000559464
0.03,36,20271237,120271237,hcrd_thresholded,z=3.5,0.0013768289798279044,0.0,2.1670970000559464
0.03,37,20271238,120271238,ceemdan_final,tail=1,0.027740566926857817,0.0,1.6216466999612749
0.03,37,20271238,120271238,ceemdan_oracle_tail,tail=1,0.027740566926857817,0.0,1.6216466999612749
0.03,37,20271238,120271238,hcrd_centered,none,1.0357187602100362,0.0,1.6216466999612749
0.03,37,20271238,120271238,hcrd_thresholded,z=3.5,7.685269571281052e-05,0.0,1.6216466999612749
0.03,38,20271239,120271239,ceemdan_final,tail=1,0.012198213570106932,0.0,2.161898000049405
0.03,38,20271239,120271239,ceemdan_oracle_tail,tail=1,0.012198213570106932,0.0,2.161898000049405
0.03,38,20271239,120271239,hcrd_centered,none,1.107271489070364,0.0,2.161898000049405
0.03,38,20271239,120271239,hcrd_thresholded,z=3.5,0.00010939875225655639,0.0,2.161898000049405
0.03,39,20271240,120271240,ceemdan_final,tail=1,0.033156668888411955,0.0,2.1107814999995753
0.03,39,20271240,120271240,ceemdan_oracle_tail,tail=1,0.033156668888411955,0.0,2.1107814999995753
0.03,39,20271240,120271240,hcrd_centered,none,0.46547009953357077,0.0,2.1107814999995753
0.03,39,20271240,120271240,hcrd_thresholded,z=3.5,4.298000943667218e-06,0.0,2.1107814999995753
0.03,40,20271241,120271241,ceemdan_final,tail=1,0.006950105579738376,0.0,2.438587800017558
0.03,40,20271241,120271241,ceemdan_oracle_tail,tail=1,0.006950105579738376,0.0,2.438587800017558
0.03,40,20271241,120271241,hcrd_centered,none,1.0333706304795927,0.0,2.438587800017558
0.03,40,20271241,120271241,hcrd_thresholded,z=3.5,0.00044499030502735914,0.0,2.438587800017558
0.03,41,20271242,120271242,ceemdan_final,tail=1,0.0038999228888755397,0.0,2.1435437001055107
0.03,41,20271242,120271242,ceemdan_oracle_tail,tail=1,0.0038999228888755397,0.0,2.1435437001055107
0.03,41,20271242,120271242,hcrd_centered,none,0.5569960046746444,0.0,2.1435437001055107
0.03,41,20271242,120271242,hcrd_thresholded,z=3.5,0.0004686416324749773,0.0,2.1435437001055107
0.03,42,20271243,120271243,ceemdan_final,tail=1,0.004712231666236694,0.0,2.1253981000045314
0.03,42,20271243,120271243,ceemdan_oracle_tail,tail=1,0.004712231666236694,0.0,2.1253981000045314
0.03,42,20271243,120271243,hcrd_centered,none,0.9332656860143916,0.0,2.1253981000045314
0.03,42,20271243,120271243,hcrd_thresholded,z=3.5,0.00013099679414140504,0.0,2.1253981000045314
0.03,43,20271244,120271244,ceemdan_final,tail=1,0.007408012056428259,0.0,1.8423164000269026
0.03,43,20271244,120271244,ceemdan_oracle_tail,tail=1,0.007408012056428259,0.0,1.8423164000269026
0.03,43,20271244,120271244,hcrd_centered,none,0.5597994585810598,0.0,1.8423164000269026
0.03,43,20271244,120271244,hcrd_thresholded,z=3.5,8.001480360112897e-05,0.0,1.8423164000269026
0.03,44,20271245,120271245,ceemdan_final,tail=1,0.020189639343336774,0.0,1.865029999986291
0.03,44,20271245,120271245,ceemdan_oracle_tail,tail=1,0.020189639343336774,0.0,1.865029999986291
0.03,44,20271245,120271245,hcrd_centered,none,0.5131485296042292,0.0,1.865029999986291
0.03,44,20271245,120271245,hcrd_thresholded,z=3.5,0.0007586973022944257,0.0,1.865029999986291
0.03,45,20271246,120271246,ceemdan_final,tail=1,0.025845035195254596,0.0,1.814672000007704
0.03,45,20271246,120271246,ceemdan_oracle_tail,tail=1,0.025845035195254596,0.0,1.814672000007704
0.03,45,20271246,120271246,hcrd_centered,none,0.9461076330696486,0.0,1.814672000007704
0.03,45,20271246,120271246,hcrd_thresholded,z=3.5,0.000285986461990586,0.0,1.814672000007704
0.03,46,20271247,120271247,ceemdan_final,tail=1,0.03118917807935753,0.0,1.6919177999952808
0.03,46,20271247,120271247,ceemdan_oracle_tail,tail=1,0.03118917807935753,0.0,1.6919177999952808
0.03,46,20271247,120271247,hcrd_centered,none,0.4336489058485899,0.0,1.6919177999952808
0.03,46,20271247,120271247,hcrd_thresholded,z=3.5,8.426258924594684e-05,0.0,1.6919177999952808
0.03,47,20271248,120271248,ceemdan_final,tail=1,0.004274489898519466,0.0,1.7238797000609338
0.03,47,20271248,120271248,ceemdan_oracle_tail,tail=1,0.004274489898519466,0.0,1.7238797000609338
0.03,47,20271248,120271248,hcrd_centered,none,0.6662417067693339,0.0,1.7238797000609338
0.03,47,20271248,120271248,hcrd_thresholded,z=3.5,0.002589901154701977,0.0,1.7238797000609338
0.03,48,20271249,120271249,ceemdan_final,tail=1,0.04831390295511659,0.0,1.8763533999444917
0.03,48,20271249,120271249,ceemdan_oracle_tail,tail=1,0.04831390295511659,0.0,1.8763533999444917
0.03,48,20271249,120271249,hcrd_centered,none,0.8780362076892333,0.0,1.8763533999444917
0.03,48,20271249,120271249,hcrd_thresholded,z=3.5,0.0003154616438392142,0.0,1.8763533999444917
0.03,49,20271250,120271250,ceemdan_final,tail=1,0.0003914103144938716,0.0,1.9736074999673292
0.03,49,20271250,120271250,ceemdan_oracle_tail,tail=1,0.0003914103144938716,0.0,1.9736074999673292
0.03,49,20271250,120271250,hcrd_centered,none,0.5331594326032348,0.0,1.9736074999673292
0.03,49,20271250,120271250,hcrd_thresholded,z=3.5,0.0006139112226784484,0.0,1.9736074999673292
0.1,0,20281201,120281201,ceemdan_final,tail=1,0.03765579375141078,0.0,2.144432200002484
0.1,0,20281201,120281201,ceemdan_oracle_tail,tail=1,0.03765579375141078,0.0,2.144432200002484
0.1,0,20281201,120281201,hcrd_centered,none,0.839948281115096,0.0,2.144432200002484
0.1,0,20281201,120281201,hcrd_thresholded,z=3.5,0.0013184357850440896,0.0,2.144432200002484
0.1,1,20281202,120281202,ceemdan_final,tail=1,0.09651670125277052,0.0,1.8526332000037655
0.1,1,20281202,120281202,ceemdan_oracle_tail,tail=1,0.09651670125277052,0.0,1.8526332000037655
0.1,1,20281202,120281202,hcrd_centered,none,0.6816211815378481,0.0,1.8526332000037655
0.1,1,20281202,120281202,hcrd_thresholded,z=3.5,0.0038337660392104836,0.0,1.8526332000037655
0.1,2,20281203,120281203,ceemdan_final,tail=1,0.04533735231155926,0.0,1.7693788000615314
0.1,2,20281203,120281203,ceemdan_oracle_tail,tail=1,0.04533735231155926,0.0,1.7693788000615314
0.1,2,20281203,120281203,hcrd_centered,none,0.6641353676543348,0.0,1.7693788000615314
0.1,2,20281203,120281203,hcrd_thresholded,z=3.5,0.0050755721149685525,0.0,1.7693788000615314
0.1,3,20281204,120281204,ceemdan_final,tail=1,0.04947367569820647,0.0,1.5693369000218809
0.1,3,20281204,120281204,ceemdan_oracle_tail,tail=1,0.04947367569820647,0.0,1.5693369000218809
0.1,3,20281204,120281204,hcrd_centered,none,0.8193728769500701,0.0,1.5693369000218809
0.1,3,20281204,120281204,hcrd_thresholded,z=3.5,0.010243039746633351,0.0,1.5693369000218809
0.1,4,20281205,120281205,ceemdan_final,tail=1,0.006944681827344011,0.0,1.695602299994789
0.1,4,20281205,120281205,ceemdan_oracle_tail,tail=1,0.006944681827344011,0.0,1.695602299994789
0.1,4,20281205,120281205,hcrd_centered,none,0.9786032399954651,0.0,1.695602299994789
0.1,4,20281205,120281205,hcrd_thresholded,z=3.5,0.0036229640930729333,0.0,1.695602299994789
0.1,5,20281206,120281206,ceemdan_final,tail=1,0.023360464307987078,0.0,1.6110403999919072
0.1,5,20281206,120281206,ceemdan_oracle_tail,tail=1,0.023360464307987078,0.0,1.6110403999919072
0.1,5,20281206,120281206,hcrd_centered,none,0.7358668311979211,0.0,1.6110403999919072
0.1,5,20281206,120281206,hcrd_thresholded,z=3.5,0.010623165777781404,0.0,1.6110403999919072
0.1,6,20281207,120281207,ceemdan_final,tail=1,0.06484974970272255,0.0,1.6644411999732256
0.1,6,20281207,120281207,ceemdan_oracle_tail,tail=1,0.06484974970272255,0.0,1.6644411999732256
0.1,6,20281207,120281207,hcrd_centered,none,0.8887897186668788,0.0,1.6644411999732256
0.1,6,20281207,120281207,hcrd_thresholded,z=3.5,0.004860198606386494,0.0,1.6644411999732256
0.1,7,20281208,120281208,ceemdan_final,tail=1,0.003664542033507023,0.0,1.961708900053054
0.1,7,20281208,120281208,ceemdan_oracle_tail,tail=1,0.003664542033507023,0.0,1.961708900053054
0.1,7,20281208,120281208,hcrd_centered,none,0.6841242837649146,0.0,1.961708900053054
0.1,7,20281208,120281208,hcrd_thresholded,z=3.5,0.00028572997922921456,0.0,1.961708900053054
0.1,8,20281209,120281209,ceemdan_final,tail=1,0.07440789904582044,0.0,1.7191539000486955
0.1,8,20281209,120281209,ceemdan_oracle_tail,tail=1,0.07440789904582044,0.0,1.7191539000486955
0.1,8,20281209,120281209,hcrd_centered,none,1.1309176263915215,0.0,1.7191539000486955
0.1,8,20281209,120281209,hcrd_thresholded,z=3.5,0.00013478815260059546,0.0,1.7191539000486955
0.1,9,20281210,120281210,ceemdan_final,tail=1,0.000202849402852819,0.0,1.5975884000072256
0.1,9,20281210,120281210,ceemdan_oracle_tail,tail=1,0.000202849402852819,0.0,1.5975884000072256
0.1,9,20281210,120281210,hcrd_centered,none,0.6837853313384511,0.0,1.5975884000072256
0.1,9,20281210,120281210,hcrd_thresholded,z=3.5,0.00783787479783608,0.0,1.5975884000072256
0.1,10,20281211,120281211,ceemdan_final,tail=1,0.001922434984357934,0.0,1.6455500000156462
0.1,10,20281211,120281211,ceemdan_oracle_tail,tail=1,0.001922434984357934,0.0,1.6455500000156462
0.1,10,20281211,120281211,hcrd_centered,none,0.6774731271414248,0.0,1.6455500000156462
0.1,10,20281211,120281211,hcrd_thresholded,z=3.5,0.012596797474261498,0.0,1.6455500000156462
0.1,11,20281212,120281212,ceemdan_final,tail=1,0.06362727610062366,0.0,1.8344417000189424
0.1,11,20281212,120281212,ceemdan_oracle_tail,tail=1,0.06362727610062366,0.0,1.8344417000189424
0.1,11,20281212,120281212,hcrd_centered,none,0.7040628018436982,0.0,1.8344417000189424
0.1,11,20281212,120281212,hcrd_thresholded,z=3.5,0.0007012719725920394,0.0,1.8344417000189424
0.1,12,20281213,120281213,ceemdan_final,tail=1,0.005175093678472906,0.0,1.8126593000488356
0.1,12,20281213,120281213,ceemdan_oracle_tail,tail=1,0.005175093678472906,0.0,1.8126593000488356
0.1,12,20281213,120281213,hcrd_centered,none,0.5112422952489178,0.0,1.8126593000488356
0.1,12,20281213,120281213,hcrd_thresholded,z=3.5,0.010335995900393864,0.0,1.8126593000488356
0.1,13,20281214,120281214,ceemdan_final,tail=1,0.04808472662071446,0.0,1.5343169000698254
0.1,13,20281214,120281214,ceemdan_oracle_tail,tail=1,0.04808472662071446,0.0,1.5343169000698254
0.1,13,20281214,120281214,hcrd_centered,none,0.7613466443399906,0.0,1.5343169000698254
0.1,13,20281214,120281214,hcrd_thresholded,z=3.5,0.0019025022826921147,0.0,1.5343169000698254
0.1,14,20281215,120281215,ceemdan_final,tail=1,0.03952751448096413,0.0,1.582590700010769
0.1,14,20281215,120281215,ceemdan_oracle_tail,tail=1,0.03952751448096413,0.0,1.582590700010769
0.1,14,20281215,120281215,hcrd_centered,none,0.4256605929422879,0.0,1.582590700010769
0.1,14,20281215,120281215,hcrd_thresholded,z=3.5,0.005442921283842869,0.0,1.582590700010769
0.1,15,20281216,120281216,ceemdan_final,tail=1,0.005413639992641213,0.0,1.6912734999787062
0.1,15,20281216,120281216,ceemdan_oracle_tail,tail=1,0.005413639992641213,0.0,1.6912734999787062
0.1,15,20281216,120281216,hcrd_centered,none,0.7402827096453516,0.0,1.6912734999787062
0.1,15,20281216,120281216,hcrd_thresholded,z=3.5,0.009710448905031518,0.0,1.6912734999787062
0.1,16,20281217,120281217,ceemdan_final,tail=1,0.02157403011614375,0.0,2.079117099987343
0.1,16,20281217,120281217,ceemdan_oracle_tail,tail=1,0.02157403011614375,0.0,2.079117099987343
0.1,16,20281217,120281217,hcrd_centered,none,0.6473222075252539,0.0,2.079117099987343
0.1,16,20281217,120281217,hcrd_thresholded,z=3.5,0.0013876455825995464,0.0,2.079117099987343
0.1,17,20281218,120281218,ceemdan_final,tail=1,0.029355197251524297,0.0,1.7084471000125632
0.1,17,20281218,120281218,ceemdan_oracle_tail,tail=1,0.029355197251524297,0.0,1.7084471000125632
0.1,17,20281218,120281218,hcrd_centered,none,0.8800329535963113,0.0,1.7084471000125632
0.1,17,20281218,120281218,hcrd_thresholded,z=3.5,0.00631792461405531,0.0,1.7084471000125632
0.1,18,20281219,120281219,ceemdan_final,tail=1,0.0475826127861956,0.0,1.7809545999625698
0.1,18,20281219,120281219,ceemdan_oracle_tail,tail=1,0.0475826127861956,0.0,1.7809545999625698
0.1,18,20281219,120281219,hcrd_centered,none,0.8269952840907752,0.0,1.7809545999625698
0.1,18,20281219,120281219,hcrd_thresholded,z=3.5,0.004807477159689555,0.0,1.7809545999625698
0.1,19,20281220,120281220,ceemdan_final,tail=1,0.007380871667179923,0.0,1.6302175000309944
0.1,19,20281220,120281220,ceemdan_oracle_tail,tail=1,0.007380871667179923,0.0,1.6302175000309944
0.1,19,20281220,120281220,hcrd_centered,none,0.8923942011549388,0.0,1.6302175000309944
0.1,19,20281220,120281220,hcrd_thresholded,z=3.5,0.002861073581838376,0.0,1.6302175000309944
0.1,20,20281221,120281221,ceemdan_final,tail=1,0.07773203212492451,0.0,1.7691590000176802
0.1,20,20281221,120281221,ceemdan_oracle_tail,tail=1,0.07773203212492451,0.0,1.7691590000176802
0.1,20,20281221,120281221,hcrd_centered,none,0.6069850603860513,0.0,1.7691590000176802
0.1,20,20281221,120281221,hcrd_thresholded,z=3.5,0.02078514302068771,0.0,1.7691590000176802
0.1,21,20281222,120281222,ceemdan_final,tail=1,0.020700940481738556,0.0,1.956164599978365
0.1,21,20281222,120281222,ceemdan_oracle_tail,tail=1,0.020700940481738556,0.0,1.956164599978365
0.1,21,20281222,120281222,hcrd_centered,none,0.9217500717565581,0.0,1.956164599978365
0.1,21,20281222,120281222,hcrd_thresholded,z=3.5,0.0018943481405200569,0.0,1.956164599978365
0.1,22,20281223,120281223,ceemdan_final,tail=1,0.0023626741128567265,0.0,1.56492429994978
0.1,22,20281223,120281223,ceemdan_oracle_tail,tail=1,0.0023626741128567265,0.0,1.56492429994978
0.1,22,20281223,120281223,hcrd_centered,none,0.8696298811480422,0.0,1.56492429994978
0.1,22,20281223,120281223,hcrd_thresholded,z=3.5,0.006039851074342977,0.0,1.56492429994978
0.1,23,20281224,120281224,ceemdan_final,tail=1,0.00022104765246119937,0.0,1.827291899942793
0.1,23,20281224,120281224,ceemdan_oracle_tail,tail=1,0.00022104765246119937,0.0,1.827291899942793
0.1,23,20281224,120281224,hcrd_centered,none,0.8180829761506885,0.0,1.827291899942793
0.1,23,20281224,120281224,hcrd_thresholded,z=3.5,0.004324758508880096,0.0,1.827291899942793
0.1,24,20281225,120281225,ceemdan_final,tail=1,0.0021333986737542515,0.0,1.5777336000464857
0.1,24,20281225,120281225,ceemdan_oracle_tail,tail=1,0.0021333986737542515,0.0,1.5777336000464857
0.1,24,20281225,120281225,hcrd_centered,none,1.003501695643016,0.0,1.5777336000464857
0.1,24,20281225,120281225,hcrd_thresholded,z=3.5,0.010019636883367062,0.0,1.5777336000464857
0.1,25,20281226,120281226,ceemdan_final,tail=1,0.006698953721122156,0.0,1.5029549000319093
0.1,25,20281226,120281226,ceemdan_oracle_tail,tail=1,0.006698953721122156,0.0,1.5029549000319093
0.1,25,20281226,120281226,hcrd_centered,none,1.0729873920910935,0.0,1.5029549000319093
0.1,25,20281226,120281226,hcrd_thresholded,z=3.5,0.004717985650740331,0.0,1.5029549000319093
0.1,26,20281227,120281227,ceemdan_final,tail=1,0.08579619738307596,0.0,1.585347699932754
0.1,26,20281227,120281227,ceemdan_oracle_tail,tail=1,0.08579619738307596,0.0,1.585347699932754
0.1,26,20281227,120281227,hcrd_centered,none,0.9748167692037877,0.0,1.585347699932754
0.1,26,20281227,120281227,hcrd_thresholded,z=3.5,0.004781095629674321,0.0,1.585347699932754
0.1,27,20281228,120281228,ceemdan_final,tail=1,0.0008036589593442678,0.0,1.4388741999864578
0.1,27,20281228,120281228,ceemdan_oracle_tail,tail=1,0.0008036589593442678,0.0,1.4388741999864578
0.1,27,20281228,120281228,hcrd_centered,none,0.6572525398288938,0.0,1.4388741999864578
0.1,27,20281228,120281228,hcrd_thresholded,z=3.5,0.00027542985118559086,0.0,1.4388741999864578
0.1,28,20281229,120281229,ceemdan_final,tail=1,0.01429453232911199,0.0,1.7630418000044301
0.1,28,20281229,120281229,ceemdan_oracle_tail,tail=1,0.01429453232911199,0.0,1.7630418000044301
0.1,28,20281229,120281229,hcrd_centered,none,0.44946414872154317,0.0,1.7630418000044301
0.1,28,20281229,120281229,hcrd_thresholded,z=3.5,0.0025389864846546957,0.0,1.7630418000044301
0.1,29,20281230,120281230,ceemdan_final,tail=1,0.013635267042322548,0.0,1.3361036999849603
0.1,29,20281230,120281230,ceemdan_oracle_tail,tail=1,0.013635267042322548,0.0,1.3361036999849603
0.1,29,20281230,120281230,hcrd_centered,none,0.7096312456409273,0.0,1.3361036999849603
0.1,29,20281230,120281230,hcrd_thresholded,z=3.5,0.004699072522476225,0.0,1.3361036999849603
0.1,30,20281231,120281231,ceemdan_final,tail=1,0.010586252503864746,0.0,1.706959499977529
0.1,30,20281231,120281231,ceemdan_oracle_tail,tail=1,0.010586252503864746,0.0,1.706959499977529
0.1,30,20281231,120281231,hcrd_centered,none,0.7551576100829297,0.0,1.706959499977529
0.1,30,20281231,120281231,hcrd_thresholded,z=3.5,0.007938770175321522,0.0,1.706959499977529
0.1,31,20281232,120281232,ceemdan_final,tail=1,0.06558628200303741,0.0,1.9410868999548256
0.1,31,20281232,120281232,ceemdan_oracle_tail,tail=1,0.06558628200303741,0.0,1.9410868999548256
0.1,31,20281232,120281232,hcrd_centered,none,0.45020889696277755,0.0,1.9410868999548256
0.1,31,20281232,120281232,hcrd_thresholded,z=3.5,0.021335506575560225,0.0,1.9410868999548256
0.1,32,20281233,120281233,ceemdan_final,tail=1,0.035657159646241166,0.0,1.6838601999916136
0.1,32,20281233,120281233,ceemdan_oracle_tail,tail=1,0.035657159646241166,0.0,1.6838601999916136
0.1,32,20281233,120281233,hcrd_centered,none,0.5096365186078559,0.0,1.6838601999916136
0.1,32,20281233,120281233,hcrd_thresholded,z=3.5,0.002064537198926732,0.0,1.6838601999916136
0.1,33,20281234,120281234,ceemdan_final,tail=1,0.0877733451108739,0.0,1.7754360999679193
0.1,33,20281234,120281234,ceemdan_oracle_tail,tail=1,0.0877733451108739,0.0,1.7754360999679193
0.1,33,20281234,120281234,hcrd_centered,none,0.9085243487626733,0.0,1.7754360999679193
0.1,33,20281234,120281234,hcrd_thresholded,z=3.5,0.0006066225397068738,0.0,1.7754360999679193
0.1,34,20281235,120281235,ceemdan_final,tail=1,0.1588574107085622,0.0,1.925728500005789
0.1,34,20281235,120281235,ceemdan_oracle_tail,tail=1,0.1588574107085622,0.0,1.925728500005789
0.1,34,20281235,120281235,hcrd_centered,none,1.016118251133332,0.0,1.925728500005789
0.1,34,20281235,120281235,hcrd_thresholded,z=3.5,0.006253671300601507,0.0,1.925728500005789
0.1,35,20281236,120281236,ceemdan_final,tail=1,0.0038918027154059886,0.0,2.348556699929759
0.1,35,20281236,120281236,ceemdan_oracle_tail,tail=1,0.0038918027154059886,0.0,2.348556699929759
0.1,35,20281236,120281236,hcrd_centered,none,0.6241428418626266,0.0,2.348556699929759
0.1,35,20281236,120281236,hcrd_thresholded,z=3.5,0.004694357963864229,0.0,2.348556699929759
0.1,36,20281237,120281237,ceemdan_final,tail=1,0.0009651664086266176,0.0,1.6273470000596717
0.1,36,20281237,120281237,ceemdan_oracle_tail,tail=1,0.0009651664086266176,0.0,1.6273470000596717
0.1,36,20281237,120281237,hcrd_centered,none,0.6449515007603226,0.0,1.6273470000596717
0.1,36,20281237,120281237,hcrd_thresholded,z=3.5,0.025873779768778523,0.0,1.6273470000596717
0.1,37,20281238,120281238,ceemdan_final,tail=1,0.0027236039268659852,0.0,1.8884203999768943
0.1,37,20281238,120281238,ceemdan_oracle_tail,tail=1,0.0027236039268659852,0.0,1.8884203999768943
0.1,37,20281238,120281238,hcrd_centered,none,0.8194691247748912,0.0,1.8884203999768943
0.1,37,20281238,120281238,hcrd_thresholded,z=3.5,0.0064527239209406706,0.0,1.8884203999768943
0.1,38,20281239,120281239,ceemdan_final,tail=1,0.03761731425934357,0.0,1.7046277000335976
0.1,38,20281239,120281239,ceemdan_oracle_tail,tail=1,0.03761731425934357,0.0,1.7046277000335976
