case,trial,method,baseline_mse,detail_correlation,endpoint_error
weak_oscillation_strong_curvature,8,hcrd_raw,8.516699155171713,0.0003599388205006442,
weak_oscillation_strong_curvature,8,hcrd_thresholded,8.516699155171713,0.0003599388205006442,
weak_oscillation_strong_curvature,8,hcrd_adaptive_guided,7.87211642130938,0.00034927729619035756,
weak_oscillation_strong_curvature,8,gaussian_oracle,2.248624269115259e-06,0.008655553010305286,
endpoint_outlier,8,hcrd_raw,0.0159542228105985,,1.6327677968983627
endpoint_outlier,8,hcrd_thresholded,0.8903791914816507,,1.6327677968983627
endpoint_outlier,8,hcrd_adaptive_guided,0.02077244423399919,,0.5966926089569893
endpoint_outlier,8,gaussian_oracle,0.0033505598851930342,,0.02818373427003662
irregular_grid_affine_plus_sine,8,hcrd_raw,0.0004762368893121964,0.9995380837637873,
weak_oscillation_strong_curvature,9,hcrd_raw,8.516699155171713,0.0006997389034325477,
weak_oscillation_strong_curvature,9,hcrd_thresholded,8.516699155171713,0.0006997389034325477,
weak_oscillation_strong_curvature,9,hcrd_adaptive_guided,7.95097013907118,0.0008931288995178647,
weak_oscillation_strong_curvature,9,gaussian_oracle,2.728329190036599e-06,0.01730004568756553,
endpoint_outlier,9,hcrd_raw,0.03192881556468482,,2.3642982952962934
endpoint_outlier,9,hcrd_thresholded,1.8669414050451245,,2.3642982952962934
endpoint_outlier,9,hcrd_adaptive_guided,0.04395631443497639,,0.7466744919933542
endpoint_outlier,9,gaussian_oracle,0.025147456413490178,,0.2943213614395376
irregular_grid_affine_plus_sine,9,hcrd_raw,0.0008461843489367392,0.9992941655417569,
weak_oscillation_strong_curvature,10,hcrd_raw,8.516699155171713,0.0002408854064027535,
weak_oscillation_strong_curvature,10,hcrd_thresholded,8.516699155171713,0.0002408854064027535,
weak_oscillation_strong_curvature,10,hcrd_adaptive_guided,7.872116097888207,0.00023547474450384307,
weak_oscillation_strong_curvature,10,gaussian_oracle,2.1460172502975122e-06,0.005919639887355806,
endpoint_outlier,10,hcrd_raw,0.02978621754678028,,2.3389734200379326
endpoint_outlier,10,hcrd_thresholded,1.8271606031232699,,2.3389734200379326
endpoint_outlier,10,hcrd_adaptive_guided,0.023061014229045333,,0.7953241640533266
endpoint_outlier,10,gaussian_oracle,0.04708666226534993,,0.5990105736681787
irregular_grid_affine_plus_sine,10,hcrd_raw,0.0008396980175959275,0.9992831724063014,
weak_oscillation_strong_curvature,11,hcrd_raw,8.516699155171713,0.0007216332878317127,
weak_oscillation_strong_curvature,11,hcrd_thresholded,8.516699155171713,0.0007216332878317127,
weak_oscillation_strong_curvature,11,hcrd_adaptive_guided,7.95098466359151,0.0009141586733477675,
weak_oscillation_strong_curvature,11,gaussian_oracle,2.770514597359746e-06,0.017801211842709413,
endpoint_outlier,11,hcrd_raw,0.16291962822698486,,1.9359325990540956
endpoint_outlier,11,hcrd_thresholded,1.2517183394565217,,1.9359325990540956
endpoint_outlier,11,hcrd_adaptive_guided,0.01399722285485508,,0.3847639257325639
endpoint_outlier,11,gaussian_oracle,0.008723008161674511,,0.2897693564119965
irregular_grid_affine_plus_sine,11,hcrd_raw,0.0007588177763135811,0.999250323187571,
weak_oscillation_strong_curvature,12,hcrd_raw,8.516699155171713,0.0008751703629635518,
weak_oscillation_strong_curvature,12,hcrd_thresholded,8.516699155171713,0.0008751703629635518,
