contrast,block_size,separation,support_left_log2,support_right_log2,estimate,radius,lower,upper,certified_sign
0,1,1,-4.356143957957255,-1.3561438102252754,0.02663636669620618,0.004910644753190965,0.021725721943015218,0.031547011449397144,1
1,1,1,-2.356143810225275,-0.3561438102252753,0.03913636363636357,0.004348920681530664,0.03478744295483291,0.04348528431789424,1
2,1,1,-1.3561438102252754,0.6438561897747247,0.046250000000000006,0.007969000950545493,0.03828099904945451,0.0542190009505455,1
3,1,1,-0.3561438102252753,1.6438561897747246,0.05593181818181814,0.021167590224254733,0.034764227957563405,0.07709940840607288,1
4,1,1,0.6438561897747247,2.643856189774725,0.009727272727272706,0.034396598075943564,-0.02466932534867086,0.04412387080321627,0
5,1,1,1.6438561897747246,3.643856189774725,-0.024795454545454346,0.026814900650540912,-0.05161035519599526,0.0020194461050865656,0
6,1,2,-4.356143957957255,0.6438561897747247,0.18139091633568516,0.01423333180266527,0.16715758453301988,0.19562424813835044,1
7,1,2,-2.356143810225275,1.6438561897747246,0.18756818181818183,0.02016003623536567,0.16740814558281616,0.2077282180535475,1
8,1,2,-1.3561438102252754,2.643856189774725,0.1678409090909091,0.029579053034957933,0.13826185605595115,0.19741996212586704,1
9,1,2,-0.3561438102252753,3.643856189774725,0.0505909090909091,0.03367612482580831,0.01691478426510079,0.08426703391671742,1
10,2,2,-4.356143957957255,1.6438561897747246,0.1844795490769335,0.014301641242986421,0.1701779078339471,0.19878119031991992,1
11,2,2,-1.3561438102252754,3.643856189774725,0.10921590909090907,0.027721169044099773,0.0814947400468093,0.13693707813500886,1
