configuration,join_ratio,curvature_ratio,certified_region,trials,aware_exact_probability,aware_wilson_low,aware_wilson_high,naive_exact_probability,naive_wilson_low,naive_wilson_high,aware_minus_naive_exact,aware_mean_knot_f1,naive_mean_knot_f1,aware_mean_localisation_error_widths,naive_mean_localisation_error_widths,theorem_implication_violations,noise_only_theorem_implication_violations
"K=4,m=8,n=33",1.0,2.5,0,1000,0.936,0.9190992674988255,0.9495637991017706,1.0,0.996173241514445,1.0,-0.064,0.9786666666666666,1.0,0.011875,0.0,0,0
"K=4,m=8,n=33",1.0,2.75,0,1000,0.996,0.9897604437227377,0.9984434118595916,1.0,0.996173241514445,1.0,-0.004,0.9986666666666666,1.0,0.000625,0.0,0,0
"K=4,m=8,n=33",1.0,3.0,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=4,m=8,n=33",1.0,3.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=4,m=8,n=33",1.0,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=4,m=8,n=33",1.0,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=4,m=8,n=33",1.5,1.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.945,0.9290916123226243,0.9575025726252315,-0.945,0.0,0.9816666666666666,4.1225,0.006875,0,0
"K=4,m=8,n=33",1.5,2.0,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,-1.0,0.004066666666666666,1.0,3.34425,0.0,0,0
"K=4,m=8,n=33",1.5,2.25,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,-1.0,0.11436666666666667,1.0,1.168625,0.0,0,0
"K=4,m=8,n=33",1.5,2.5,0,1000,0.111,0.09299921045824965,0.13197800764351225,1.0,0.996173241514445,1.0,-0.889,0.47733333333333333,1.0,0.25725,0.0,0,0
