n,contrast_count,build_seconds,evaluate_seconds,stored_mebibytes,estimate_vector_mebibytes,dense_operator_gibibytes,rss_increase_mebibytes,finite
1000,5872,0.0006015000399202108,0.0014782999642193317,0.05242919921875,0.0447998046875,0.04374980926513672,0.1875,True
10000,59831,0.0009411999490112066,0.0038644999731332064,0.5327682495117188,0.45647430419921875,4.457756876945496,1.5546875,True
100000,599790,0.0041943000396713614,0.028731700032949448,5.3389739990234375,4.5760345458984375,446.8783736228943,11.328125,True
1000000,5999750,0.034551799995824695,0.7318410999141634,53.40385437011719,45.77445983886719,44701.62093639374,115.703125,True
