noise_sigma,latent_index,method,mean_pairwise_jaccard,mean_knot_count,mean_target_knot_f1,mean_pointwise_baseline_variance
0.01,25,hcrd_robust,1.0,2.0,0.0,8.59453508310342e-05
0.01,25,hcrd_guided,1.0,11.0,0.525,0.000508985940977368
0.01,25,hcrd_adaptive_guided,0.9636363636363638,9.2,0.5785714285714285,0.001428557714791568
0.01,26,hcrd_raw,0.7217350426116954,99.7,0.1262642315233246,0.000614618159724581
0.01,26,hcrd_robust,0.8703703703703703,2.2,0.0,0.050390454206627217
0.01,26,hcrd_guided,1.0,11.0,0.4375,0.0015550710054949575
0.01,26,hcrd_adaptive_guided,0.9353535353535354,9.4,0.5017857142857143,0.004006986340176635
0.01,27,hcrd_raw,0.7076730364677689,97.1,0.12748512800471248,0.0004630254820931633
0.01,27,hcrd_robust,0.9333333333333333,2.1,0.025,0.00020069074447571779
0.01,27,hcrd_guided,1.0,11.0,0.25,0.00041136183938022804
0.01,27,hcrd_adaptive_guided,0.9357575757575756,9.8,0.27071428571428574,0.002447143988991853
0.01,28,hcrd_raw,0.6849201675701171,94.0,0.13955701064483755,0.0011202156526990653
0.01,28,hcrd_robust,0.7666666666666667,2.4,0.1,0.013305334541483086
0.01,28,hcrd_guided,1.0,11.0,0.3625,0.0012295855500044004
0.01,28,hcrd_adaptive_guided,0.9030303030303033,10.2,0.3821428571428571,0.004467563877863084
0.01,29,hcrd_raw,0.7767918710899069,104.8,0.12420396269757554,0.00033822360364434975
0.01,29,hcrd_robust,1.0,2.0,0.0,3.665635203106473e-05
0.01,29,hcrd_guided,0.9818181818181818,10.9,0.3775,0.00021029985880319796
0.01,29,hcrd_adaptive_guided,0.9066666666666666,9.9,0.40392857142857147,0.0019508224316991663
0.03,0,hcrd_raw,0.9106477297851036,119.2,0.10952644031683803,0.000682610275723951
0.03,0,hcrd_robust,1.0,2.0,0.0,0.0006125296742124125
0.03,0,hcrd_guided,0.9722222222222222,11.1,0.1,0.007008084218352395
0.03,0,hcrd_adaptive_guided,1.0,9.0,0.12857142857142856,0.0017326686602858372
0.03,1,hcrd_raw,0.9135750709925264,119.0,0.1096832303208691,0.0006916431238640915
0.03,1,hcrd_robust,1.0,2.0,0.0,0.00027918668679438173
0.03,1,hcrd_guided,0.9264957264957266,11.0,0.4125,0.003335467380454694
0.03,1,hcrd_adaptive_guided,1.0,9.0,0.5571428571428572,0.0004332226820432908
0.03,2,hcrd_raw,0.928692032271422,120.8,0.10496548593421248,0.0006646478663328856
