cell,signal,design,n,trial,target_left,target_right,hct_left,hct_right,hct_width,hct_empty,hct_covers_target,hct_nontrivial,joint_contrast_coverage,unexplained_empty,positive_contrast_count,negative_contrast_count,hct_runtime_seconds
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,65,0.3,0.3,0.2980026547291801,0.3003852573697871,0.0023826026406070233,False,True,True,True,False,44,49,0.0013511000433936715
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,66,0.3,0.3,0.2973218398705139,0.3003852573697871,0.003063417499273191,False,True,True,True,False,43,47,0.0014403000241145492
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,67,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,46,48,0.0017393000307492912
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,68,0.3,0.3,0.29936416680551214,0.30106599189954186,0.0017018250940297186,False,True,True,True,False,45,48,0.0016763999592512846
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,69,0.3,0.3,0.29936416680551214,0.30106599189954186,0.0017018250940297186,False,True,True,True,False,47,49,0.001588699989952147
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,70,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,46,48,0.0015367999440059066
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,71,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,46,48,0.0014523999998345971
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,72,0.3,0.3,0.299023798767047,0.3003852573697871,0.0013614586027401177,False,True,True,True,False,45,52,0.0014654999831691384
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,73,0.3,0.3,0.299023798767047,0.30106599189954186,0.002042193132494874,False,True,True,True,False,47,51,0.0014800999779254198
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,74,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,48,51,0.0015959000447764993
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,75,0.3,0.3,0.299023798767047,0.30106599189954186,0.002042193132494874,False,True,True,False,False,47,50,0.0017071000183932483
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,76,0.3,0.3,0.299023798767047,0.30072562263601277,0.0017018238689657794,False,True,True,True,False,45,51,0.001705500006210059
