cell,signal,design,n,trials,hct_coverage,hct_coverage_wilson_low,hct_coverage_wilson_high,hct_mean_width,hct_median_width,hct_nontrivial_probability,hct_empty_probability,joint_contrast_coverage,unexplained_empty_count,mean_hct_runtime_seconds,sshaped_success_probability,sshaped_mean_root_error,sshaped_median_root_error,projected_mean_root_error,projected_median_root_error,mean_projection_error_change,covered_projection_increase_count,shapechange_success_probability,shapechange_coverage,shapechange_coverage_wilson_low,shapechange_coverage_wilson_high,shapechange_mean_width,shapechange_median_width,shapechange_mean_root_error,coverage_difference_hct_minus_shapechange,paired_hct_only_coverage,paired_shapechange_only_coverage,paired_exact_p_value,mean_sshaped_runtime_seconds,mean_shapechange_runtime_seconds
paper_f2_onset__beta_4_8__n1000,paper_f2_onset,beta_4_8,1000,200,0.99,0.9642782382838231,0.9972533418664555,0.7707964893601026,0.7862684058123803,1.0,0.0,0.985,0,0.0016493960010120646,1.0,0.08207853421817489,0.06409096302919151,0.08211228949760191,0.06539613981005898,3.3755279427023916e-05,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.026865904404134965,0.02554134720034651,0.1269051930947881,0.99,198,0,4.9784122222889134e-60,0.49329999999999474,3.2986500000000047
paper_f2_onset__beta_4_8__n500,paper_f2_onset,beta_4_8,500,200,0.985,0.9568342712073097,0.9948857622067417,0.7945898489308715,0.8148959245379948,0.995,0.005,0.975,0,0.0009820304994354956,1.0,0.09715458946635085,0.07348844220416101,0.0968183388670607,0.07233937002984203,7.820615774217009e-05,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.057723726959250925,0.049831062649901,0.12234877083323792,0.985,197,0,9.956824444577827e-60,0.23345000000000313,4.329299999999995
paper_f2_onset__uniform__n1000,paper_f2_onset,uniform,1000,200,0.985,0.9568342712073097,0.9948857622067417,0.663896103896104,0.6703296703296704,1.0,0.0,0.965,0,0.0015631054970435799,1.0,0.09816683316683349,0.08311688311688353,0.10087212787212821,0.08511488511488552,0.0027052947052947,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.014871104865535126,0.014104675131211442,0.2069861669906801,0.985,197,0,9.956824444577827e-60,0.5266000000000042,3.2122499999999956
paper_f2_onset__uniform__n500,paper_f2_onset,uniform,500,200,0.975,0.942821659593358,0.9892752803482386,0.7039689465290525,0.7325349301397206,0.995,0.005,0.94,0,0.0005337685003178194,1.0,0.10806387225548905,0.08722554890219603,0.11240132799727183,0.08722554890219603,0.004734250092779265,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.021495114714672036,0.01993994864822604,0.2075950210204298,0.975,195,0,3.982729777831131e-59,0.16299999999999784,2.6983500000000027
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,200,0.965,0.9295293884777092,0.9829444579914328,0.0019275763781970007,0.0017018320369563411,0.965,0.035,0.95,0,0.0016696290025720374,1.0,4.48942271010222e-05,4.48942271010222e-05,4.48942271010222e-05,4.48942271010222e-05,0.0,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.008310714484297576,0.008327718873873513,0.028830599499197706,0.965,193,0,1.5930919111324523e-58,0.4934999999999991,3.2230500000000006
paper_f3_jump__beta_4_8__n500,paper_f3_jump,beta_4_8,500,200,0.995,0.9722262956021069,0.9991168312843989,0.0043609046198502255,0.0040804162758545925,0.995,0.005,0.98,0,0.0009226035000756383,1.0,0.00023851382821798994,0.00023851382821798994,0.00023851382821798994,0.00023851382821798994,0.0,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.012360198507646308,0.012295022757647989,0.02813569197482143,0.995,199,0,2.4892061111444567e-60,0.26834999999999576,4.4973500000000035
paper_f3_jump__uniform__n1000,paper_f3_jump,uniform,1000,200,0.985,0.9568342712073097,0.9948857622067417,0.005938224212335883,0.005994005994005958,0.985,0.015,0.96,0,0.001522625000507105,1.0,0.0006993006993010198,0.0006993006993010198,0.0006993006993010198,0.0006993006993010198,0.0,0,1.0,0.0,1.734723475976807e-18,0.018845326377266575,0.005415439281630514,0.005405637718974982,0.005174113414627952,0.985,197,0,9.956824444577827e-60,0.46885000000001925,3.3061499999999797
paper_f3_jump__uniform__n500,paper_f3_jump,uniform,500,200,0.97,0.9361057075454807,0.9861796856598887,0.010669382883717143,0.009980039920159722,0.97,0.03,0.95,0,0.0005632769982912577,1.0,0.0013972055888220036,0.0013972055888220036,0.0013972055888220036,0.0013972055888220036,0.0,0,1.0,0.015,0.00511423779325831,0.04316572879269026,0.007862784472429702,0.007869995520530498,0.005532750804841642,0.955,191,0,6.372367644529809e-58,0.1787999999999979,3.2372000000000014
paper_f4_logistic__beta_4_8__n1000,paper_f4_logistic,beta_4_8,1000,200,0.975,0.942821659593358,0.9892752803482386,0.9636631072697652,1.0,0.06,0.0,0.94,0,0.001512299998139497,1.0,0.13896486711551248,0.13855217551849047,0.137193093199351,0.136283849349363,-0.001771773916161492,0,1.0,0.985,0.9568342712073097,0.9948857622067417,0.5017261460642356,0.4698817154463286,0.12629678603060687,-0.01,3,5,0.7265625,0.5341999999999939,2.9420000000000117
paper_f4_logistic__beta_4_8__n500,paper_f4_logistic,beta_4_8,500,200,0.975,0.942821659593358,0.9892752803482386,0.9745012333740629,1.0,0.045,0.0,0.955,0,0.0007835960004013031,1.0,0.14111449036144352,0.12086930783480149,0.14087172679011575,0.12086930783480149,-0.00024276357132775193,0,1.0,0.985,0.9568342712073097,0.9948857622067417,0.5013080272168078,0.5509171606577266,0.14695596372545408,-0.01,3,5,0.7265625,0.24475000000000022,3.7602999999999973
paper_f4_logistic__uniform__n1000,paper_f4_logistic,uniform,1000,200,0.975,0.942821659593358,0.9892752803482386,0.9587112887112887,0.999000999000999,0.515,0.0,0.935,0,0.0018192350008757784,1.0,0.16454045954045957,0.1756243756243755,0.16642557442557443,0.1756243756243755,0.0018851148851148833,0,1.0,0.96,0.923067931799067,0.9795943679338476,0.39208312332762085,0.444256673765423,0.12641300987167498,0.015,7,4,0.548828125,0.6288999999999919,3.3674000000000155
paper_f4_logistic__uniform__n500,paper_f4_logistic,uniform,500,200,0.975,0.942821659593358,0.9892752803482386,0.9808483033932136,1.0,0.18,0.0,0.965,0,0.0006586625005002134,1.0,0.15539920159680637,0.153692614770459,0.1546327345309381,0.1516966067864275,-0.0007664670658682661,0,1.0,0.99,0.9642782382838231,0.9972533418664555,0.4372718128736189,0.4514750351634291,0.12283364501837375,-0.015,2,5,0.453125,0.20884999999999873,3.2149500000000018
