partition,bearing_id,indicator,spearman_trendability,pearson_trendability,acquisitions
training,Bearing1_2,horizontal_rms,0.0879276021517991,0.35001071415634943,871
training,Bearing1_2,horizontal_variance,0.09066607560353634,0.34067414789504613,871
training,Bearing1_2,horizontal_kurtosis,0.38414014298110105,0.02870888542170403,871
training,Bearing1_2,horizontal_0_1khz_band_power,0.3541964695297997,0.411999997304363,871
training,Bearing2_1,hcrd_level3_log1p_polygon_mass,0.4405792514724284,0.45426191166733787,911
training,Bearing2_1,horizontal_rms,0.3210619959507821,0.39521789848245953,911
training,Bearing2_1,horizontal_variance,0.32121096882203815,0.2827037069504369,911
training,Bearing2_1,horizontal_kurtosis,0.49827200357560286,0.27666705920147633,911
training,Bearing2_1,horizontal_0_1khz_band_power,0.09744363759182638,0.18050504679028706,911
training,Bearing2_2,hcrd_level3_log1p_polygon_mass,0.8154632702573823,0.7573888707081691,797
training,Bearing2_2,horizontal_rms,0.7977332061767315,0.7449760054025996,797
training,Bearing2_2,horizontal_variance,0.7977656795595793,0.5847359092749639,797
training,Bearing2_2,horizontal_kurtosis,0.6198214257863028,0.3270937887700279,797
training,Bearing2_2,horizontal_0_1khz_band_power,0.8434170456057613,0.7091188476287732,797
training,Bearing3_1,hcrd_level3_log1p_polygon_mass,-0.2254656038683843,0.02937276763583171,515
training,Bearing3_1,horizontal_rms,-0.4231785903485429,0.06547679893727189,515
training,Bearing3_1,horizontal_variance,-0.4315186518287235,0.13331966138532306,515
training,Bearing3_1,horizontal_kurtosis,0.22375447286323868,0.11486668387287173,515
training,Bearing3_1,horizontal_0_1khz_band_power,-0.16122760054223445,0.029464540973851913,515
training,Bearing3_2,hcrd_level3_log1p_polygon_mass,-0.013375308793906533,0.14381010311021794,1637
training,Bearing3_2,horizontal_rms,-0.1435042671396966,0.10971317927500793,1637
training,Bearing3_2,horizontal_variance,-0.14501690913981272,0.1467624996175789,1637
training,Bearing3_2,horizontal_kurtosis,0.37196233584910465,0.31274054348681274,1637
training,Bearing3_2,horizontal_0_1khz_band_power,0.2816364857974457,0.27987486682473023,1637
