tsb_ad_file,tsb_uad_file,point_anom,type_an,length,maximum_signal_match_error,IFOREST,LOF,MP,NORMA,IFOREST1,HBOS,OCSVM,PCA,AE,CNN,LSTM,POLY
462_UCR_id_160_Medical_tr_1853_1st_6200.csv,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.out,0,sequence,7415,0.0,0.614306456,0.52489271,0.725855326,0.899178264,0.026253723,0.015555384,0.243298775,0.014345864,0.245504844,0.663179709,0.104202034,0.073462064
464_UCR_id_162_Medical_tr_7487_1st_16390.csv,039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420.out,0,sequence,29950,0.0,0.841029896,0.954138016,0.815134443,0.872909673,0.044554096,0.677278413,0.004333323,0.979500564,0.22586166,0.241638721,0.443770947,0.79625
465_UCR_id_163_HumanActivity_tr_1671_1st_5920.csv,054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979.out,0,sequence,6684,0.0,0.704476671,0.005569279,0.248902884,0.978791143,0.137568091,0.982613869,0.104923785,0.996284045,0.165460997,0.057973124,0.018647499,0.021719141
466_UCR_id_164_Medical_tr_1900_1st_5684.csv,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.out,0,sequence,7601,0.0,0.617106527,0.129179476,0.540946092,0.745736729,0.024159559,0.173188052,0.460885055,0.02605012,0.137043173,0.220850606,0.0209553,0.015664084
468_UCR_id_166_Facility_tr_10000_1st_35774.csv,084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874.out,0,sequence,40000,0.0,0.361206999,0.9199427,0.927923415,0.981783196,0.008468266,0.016968228,0.948806992,0.923849424,0.939117039,0.159021863,0.071190989,0.489382606
469_UCR_id_167_Medical_tr_1875_1st_4187.csv,030_UCR_Anomaly_DISTORTEDInternalBleeding19_3000_4187_4197.out,0,sequence,7500,0.0,0.004301852,0.067939316,0.040594699,0.779895266,0.002524932,0.001818254,0.005758879,0.021769759,0.000939452,0.25781837,0.655070124,0.001091941
470_UCR_id_168_Medical_tr_10447_1st_10998.csv,202_UCR_Anomaly_CHARISfive_10411_10998_11028.out,0,sequence,41790,0.0,0.000564916,0.794349787,0.341897699,0.613370502,0.000907612,0.000852516,0.001341928,0.000576534,0.076000686,0.001482822,0.002003382,0.000581283
472_UCR_id_170_Facility_tr_32000_1st_67995.csv,200_UCR_Anomaly_tiltAPB4_20000_67995_67996.out,1,point,128001,0.0,6.67e-06,0.005555556,0.004545455,1.33e-05,0.001552795,1.49e-05,3.96e-06,9.24e-06,5.38e-06,6.19e-05,0.1,0.000182482
475_UCR_id_173_Medical_tr_3000_1st_8612.csv,131_UCR_Anomaly_GP711MarkerLFM5z5_5000_8612_8716.out,0,sequence,12000,0.0,0.756487929,0.00554977,0.384381398,0.982785839,0.035836685,0.606306593,0.360952593,0.376089451,0.434796229,0.50753289,0.029389283,0.207380078
476_UCR_id_174_Facility_tr_50000_1st_64632.csv,219_UCR_Anomaly_STAFFIIIDatabase_41612_64632_64852.out,0,sequence,299840,0.0,0.00216545,0.872891286,0.000582035,0.000532482,0.006102973,0.00162531,0.000935931,0.002140509,0.001062294,0.000602842,0.000572883,0.003027133
477_UCR_id_175_Medical_tr_7500_1st_17000.csv,125_UCR_Anomaly_ECG4_5000_17000_17100.out,0,sequence,30000,0.0,0.002681668,0.850075659,0.400225079,0.980755235,0.007688848,0.089461101,0.42808691,0.002898266,0.685237249,0.453483331,0.53929297,0.004626673
478_UCR_id_176_Medical_tr_7500_1st_17210.csv,037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260.out,0,sequence,30001,0.0,0.859863118,0.999603922,0.228863154,0.185834994,0.152638943,0.961162895,0.01019263,0.999603922,0.016778995,0.064708589,0.024949045,0.775707898
480_UCR_id_178_Facility_tr_50000_1st_160720.csv,216_UCR_Anomaly_STAFFIIIDatabase_37216_160720_161370.out,0,sequence,299890,0.0,0.022717768,0.236378069,0.002223564,0.001720221,0.003571604,0.033516101,0.047777921,0.106606052,0.006819883,0.001934956,0.00191985,0.036320469
481_UCR_id_179_Medical_tr_1900_1st_5684.csv,134_UCR_Anomaly_InternalBleeding15_1700_5684_5854.out,0,sequence,7601,0.0,0.770569807,0.114434441,0.516510558,0.739721684,0.026432816,0.584163153,0.587306915,0.409940809,0.202354108,0.260742065,0.02357124,0.016811129
482_UCR_id_180_Medical_tr_7500_1st_16000.csv,120_UCR_Anomaly_ECG2_15000_16000_16100.out,0,sequence,30000,0.0,0.02150137,0.754289906,0.234572814,0.029213738,0.006162902,0.020162032,0.00168982,0.090965678,0.026904075,0.014021072,0.005545952,0.202519774
483_UCR_id_181_Medical_tr_2499_1st_6508.csv,068_UCR_Anomaly_DISTORTEDinsectEPG4_1300_6508_6558.out,0,sequence,9998,0.0,0.011453898,0.74231301,0.783215686,0.793799964,0.007181536,0.047288208,0.002557705,0.002506012,0.33527196,0.015583944,0.02027664,0.002664276
484_UCR_id_182_Medical_tr_1875_1st_5759.csv,139_UCR_Anomaly_InternalBleeding20_2700_5759_5919.out,0,sequence,7500,0.0,0.713486534,0.03261578,0.830885297,0.948867043,0.02366215,0.163208444,0.731954279,0.121081698,0.480145944,0.255600387,0.068073167,0.016637674
485_UCR_id_183_Medical_tr_7516_1st_17390.csv,040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520.out,0,sequence,30066,0.0,0.022076592,0.01107177,0.063725956,0.51821542,0.003980271,0.00938407,0.238487028,0.007885193,0.264090566,0.058051043,0.011864333,0.005143215
486_UCR_id_184_Medical_tr_1875_1st_5607.csv,133_UCR_Anomaly_InternalBleeding14_2800_5607_5634.out,0,sequence,7501,0.0,0.278495924,0.257422937,0.180872795,0.953379043,0.015033718,0.049965372,0.288333382,0.233764156,0.222184012,0.284466773,0.237517031,0.007021708
487_UCR_id_185_Medical_tr_49938_1st_191200.csv,224_UCR_Anomaly_mit14046longtermecg_76123_191200_191700.out,0,sequence,199753,0.0,0.001827234,0.160731583,0.0576012,0.057155032,0.001941245,0.002103905,0.003041451,0.00171044,0.003281429,0.023247424,0.027026007,0.002124543
488_UCR_id_186_Medical_tr_7500_1st_16000.csv,012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100.out,0,sequence,30000,0.0,0.013941161,0.664605264,0.194706435,0.028272877,0.006552056,0.013851705,0.001711251,0.086729858,0.024786265,0.006475484,0.003844954,0.152485151
489_UCR_id_187_Medical_tr_1875_1st_4485.csv,137_UCR_Anomaly_InternalBleeding18_2300_4485_4587.out,0,sequence,7500,0.0,0.009941674,0.935424744,0.998981493,0.983535232,0.015419408,0.008643778,0.009959413,0.007548864,0.05538304,0.028419096,0.107007725,0.015672506
490_UCR_id_188_Medical_tr_14750_1st_47530.csv,231_UCR_Anomaly_mit14134longtermecg_8763_47530_47790.out,0,sequence,59000,0.0,0.004156106,0.010448043,0.005426848,0.004518208,0.004677647,0.002986864,0.004491061,0.003597222,0.005076238,0.004820704,0.004559164,0.003691439
491_UCR_id_189_Facility_tr_32372_1st_114000.csv,199_UCR_Anomaly_tiltAPB3_40000_114000_114370.out,0,sequence,129489,0.0,0.001507026,0.035131963,0.71040149,0.008428331,0.002375419,0.001863038,0.359453849,0.001434673,0.008542557,0.010942261,0.00680318,0.001973627
497_UCR_id_195_Facility_tr_32372_1st_114000.csv,091_UCR_Anomaly_DISTORTEDtiltAPB3_40000_114000_114370.out,0,sequence,129489,0.0,0.001478095,0.038018758,0.839830457,0.008030371,0.002104314,0.001530227,0.562809998,0.001434569,0.016733916,0.035926704,0.006922278,0.002100128
498_UCR_id_196_Medical_tr_15000_1st_51370.csv,087_UCR_Anomaly_DISTORTEDsel840mECG1_17000_51370_51740.out,0,sequence,60000,0.0,0.025798367,0.441755137,0.439940618,0.596853935,0.006117068,0.004957934,0.013727927,0.133721454,0.018886416,0.00734282,0.006203934,0.007199376
501_UCR_id_199_Facility_tr_7482_1st_29480.csv,212_UCR_Anomaly_Italianpowerdemand_8913_29480_29504.out,0,sequence,29931,0.0,0.000469413,0.003692773,0.004355717,0.001695781,0.000606605,0.000438377,0.000587637,0.000439754,0.001479818,0.003443151,0.002267689,0.000474405
502_UCR_id_200_Medical_tr_7487_1st_16390.csv,147_UCR_Anomaly_Lab2Cmac011215EPG3_5000_16390_16420.out,0,sequence,29950,0.0,0.878508408,0.966636334,0.814481482,0.863333823,0.036520116,0.729642834,0.005767595,0.982248153,0.3159738,0.34286692,0.441524203,0.929166667
503_UCR_id_201_Facility_tr_50000_1st_593450.csv,239_UCR_Anomaly_taichidbS0715Master_190037_593450_593514.out,0,sequence,897667,0.0,0.002879445,0.03107192,4.92e-05,6.2e-05,0.504509583,0.003184999,5.54e-05,0.001522172,0.000602448,0.000274861,0.00037752,0.000575152
