candidate,series,mean_vus_pr,median_vus_pr,mean_vus_roc,mean_auc_pr,mean_auc_roc
a3_direct,48,0.35377930513917644,0.2729017338501952,0.8250945226793788,0.3534689568857879,0.7765782163068509
a3_fuse_direct_if_full,48,0.34707640431258757,0.20636303893304192,0.8374439649950549,0.32463471737144883,0.7836154955120215
a3_fuse_direct_if_area,48,0.3223496574154812,0.20291252799725046,0.8287294680811121,0.2835873869654042,0.7762440623771423
a3_fuse_direct_if_signed_area,48,0.3187451823759932,0.18905143637012797,0.8204246848437816,0.2803582415843246,0.7688368221237919
a3_fuse_direct_if_raw,48,0.3162844792783175,0.16304163481403258,0.813077488450039,0.3200022249763108,0.7625298763364521
a3_fuse_direct_if_signed,48,0.31386545873518956,0.1885290400031009,0.8202540930831449,0.2746058857515136,0.769912115084234
a3_if_full,48,0.3045570923349789,0.16532105752030918,0.8398736735914341,0.2731236968615749,0.7780861034376728
a3_if_raw,48,0.2620628100442255,0.14564296614020483,0.7744427687988683,0.24112617169957076,0.7054928979846057
a3_if_area,48,0.25789352559716433,0.15151803083552645,0.8215156216636276,0.2207392991063257,0.7626247895380177
a3_if_signed_area,48,0.25351848819997874,0.13785217586902782,0.806073816174549,0.21291516136090705,0.7477874496823822
a3_if_signed,48,0.23926245638134816,0.10748113676020693,0.8030698223804079,0.19343668718305862,0.7456549099486475
