reference,competitor,mean_difference_reference_minus_competitor,bootstrap_95_low,bootstrap_95_high,reference_win_rate,exact_sign_p,holm_adjusted_p
hcrd_thresholded,emd_residue,-0.03363949125690532,-0.052715514458601724,-0.01303035354620582,0.81,2.702762522048789e-10,5.405525044097578e-10
hcrd_thresholded,gaussian_oracle,-0.018841912787586967,-0.03455748354370079,-0.0008095669643895298,0.74,1.667362649450101e-06,1.667362649450101e-06
hcrd_thresholded,hcrd_adaptive_guided,-0.018388919931568617,-0.03090079585693433,-0.002441198927412707,0.94,2.005959521923613e-21,8.023838087694452e-21
hcrd_thresholded,hcrd_centered,-0.769453719888751,-0.8144063322523244,-0.7231567245559561,1.0,1.5777218104420236e-30,9.466330862652142e-30
hcrd_thresholded,l1_trend_oracle,-0.024782101529049548,-0.03732768097474455,-0.008558002738692845,0.96,6.449688895763542e-24,3.224844447881771e-23
hcrd_thresholded,vmd_low_mode,-0.020109652045029222,-0.03325312593426201,-0.0036474748756480497,0.93,2.726143732806038e-20,8.178431198418114e-20
