suite,noise_sigma,trial,seed,method,parameter,baseline_mse,baseline_nmse
exact,0.1,0,20262101,hcrd_centered,none,0.9206930562070049,0.6539630214253949
exact,0.1,0,20262101,hcrd_thresholded,z=3.5,0.004754771019465405,0.0033772867093030253
exact,0.1,0,20262101,hcrd_adaptive_guided,pilot-calibrated,0.04801276393437267,0.034103192109278875
exact,0.1,0,20262101,emd_residue,default,0.0900158163036848,0.06393772040439459
exact,0.1,0,20262101,vmd_low_mode,K=5;alpha=2000,0.034345770216299705,0.02439560449860033
exact,0.1,0,20262101,l1_trend_oracle,lambda=300,0.05655070294337821,0.040167641442781434
exact,0.1,0,20262101,gaussian_oracle,sigma=64,0.0029089221868580867,0.0020661908217773826
exact,0.1,1,20262102,hcrd_centered,none,0.595637817262258,0.23909377946680588
exact,0.1,1,20262102,hcrd_thresholded,z=3.5,0.0024095486401252207,0.0009672120783475748
exact,0.1,1,20262102,hcrd_adaptive_guided,pilot-calibrated,0.03952746638156159,0.015866640861309712
exact,0.1,1,20262102,emd_residue,default,0.26085425733748097,0.10470898332730331
exact,0.1,1,20262102,vmd_low_mode,K=5;alpha=2000,0.05877426897029583,0.02359246121761831
exact,0.1,1,20262102,l1_trend_oracle,lambda=300,0.026364087479092812,0.010582755384039666
exact,0.1,1,20262102,gaussian_oracle,sigma=32,0.08817267769539751,0.03539321739643501
exact,0.1,2,20262103,hcrd_centered,none,0.9890584406137161,0.39325180820766276
exact,0.1,2,20262103,hcrd_thresholded,z=3.5,0.006556367881345295,0.002606826269046174
exact,0.1,2,20262103,hcrd_adaptive_guided,pilot-calibrated,0.029977033281234584,0.011918934269679701
exact,0.1,2,20262103,emd_residue,default,0.021422458163440995,0.008517616414858944
exact,0.1,2,20262103,vmd_low_mode,K=5;alpha=2000,0.029670909590893423,0.011797218818075886
exact,0.1,2,20262103,l1_trend_oracle,lambda=300,0.06170948186805891,0.024535825520192837
exact,0.1,2,20262103,gaussian_oracle,sigma=32,0.00868834888378144,0.003454506597978168
exact,0.1,3,20262104,hcrd_centered,none,0.936325062975307,0.5145413999321248
exact,0.1,3,20262104,hcrd_thresholded,z=3.5,0.26003874761812895,0.14289983951818788
exact,0.1,3,20262104,hcrd_adaptive_guided,pilot-calibrated,0.029557463331922617,0.016242797680671495
exact,0.1,3,20262104,emd_residue,default,0.05883148669647249,0.032329835782351
