id,n,a2_direct,a2_raw_abs,a2_fuse_h025_raw,a2_fuse_h050_raw,a2_fuse_h075_raw,a2_area_sr,a2_fuse_direct_area_sr,a2_spectrum_sr_max,a2_spectrum_sr_mean,a2_fuse_direct_spectrum_sr,a2_fuse_raw_spectrum_sr,a2_fuse_three
09513ae3e75778a3,128971,0.003638137249220935,0.006331905054552375,0.014659653246880228,0.014862531555364732,0.009822272478920497,0.010885809873015628,0.0054664703572951156,0.004384073858949235,0.0022778948862733606,0.005407839953642225,0.010070442798732255,0.012267347728942106
40e25005ff8992bd,100254,0.20840538346448484,0.08163858324250384,0.09013250385185553,0.09780758388063143,0.10932932165496141,0.18346006779043444,0.18830250092261896,0.08639387441729385,0.010962806786696198,0.1883050215450028,0.0993156056856516,0.12659574360344608
54e8a140f6237526,8248,0.02174037403548074,0.003021586255550315,0.0256959112753754,0.02862894887303157,0.06341827087563319,0.08916105592140346,0.0340476558915156,0.012038011395718905,0.000982208208122029,0.028700802615417343,0.04231238413020659,0.12579237557464942
71595dd7171f4540,147668,0.16404780139769345,0.08557719396369387,0.09995852353216116,0.11164547901145043,0.12678029320696038,0.14750514332027745,0.1462778650115859,0.07983935677470629,0.017759680096669127,0.13553444487843896,0.08724966038152604,0.11101979974525322
769894baefea4e9e,8784,0.7454818057448936,0.0007468830556141245,0.0011164307573548436,0.002621526533051746,0.007739690064654832,0.5114758604329754,0.6700727513227512,0.16929568232322761,0.00318821592860659,0.7092303418883148,0.003863165454458704,0.014275771344651328
7c189dd36f048a6c,147689,0.4268169885547035,0.14325800251361373,0.16598386001529716,0.1830617705456525,0.21150718941857186,0.4153319088509087,0.42719283420751064,0.19275034175394315,0.007842245581513328,0.42180888447223813,0.1810198596940382,0.22923865159731321
8a20c229e9860d0c,8784,0.2509114542785401,0.0004297648991042051,0.0006311009963184833,0.001380147960673,0.0033311554644013235,0.317600671499754,0.2516586017304202,0.03248831968902515,0.0007035921578579496,0.2510739118275318,0.0029233551468472556,0.006048374674026436
8bef9af9a922e0b3,129453,0.3084714695219018,0.08838143824939854,0.12942130108379704,0.14160209663105347,0.15817105652549435,0.3020682870294315,0.30321205586778655,0.1471719711616228,0.012815018162408072,0.3067807107964428,0.13044122631251692,0.16845109362960203
9bd90500bfd11edb,128613,0.05917561427305141,0.02105365863586223,0.06076173240706419,0.10767625264464897,0.14019319571366684,0.004192216303894674,0.011969791862774302,0.004267164355798116,0.00681147511866323,0.010069178538196319,0.013792228998898627,0.02150023260276475
a40b1df87e3f1c87,137925,0.5473543715490913,0.1970454135373452,0.22754279967366503,0.25159335933835164,0.30712984756807693,0.6003435298809973,0.5535177291855659,0.2786441397910766,0.012174090056465301,0.5396535890433752,0.2591330034667998,0.325586298732368
a5bf5d65261d859a,128679,0.28661323502547426,0.38398115526092325,0.4206331963497054,0.4544508515143154,0.45780133727563244,0.6613168114916865,0.42498160773790883,0.20806103547266755,0.006817878005852437,0.43629956048387214,0.35014125253071215,0.44476605575125266
affb01ca2b4f0b45,147680,0.3372760677969291,0.0979835895783738,0.1229972197120866,0.1287996326663614,0.13977091238242173,0.32499775167399453,0.3364628951711389,0.1705214363807705,0.015005680565730395,0.35887580316903633,0.13688451839712037,0.16512151416361015
b3b2e6d1a791d63a,8247,0.09307364457265958,0.08474622972714885,0.08533924562856729,0.08670782158657024,0.09074693462422148,0.12875198477531033,0.09981416667285173,0.021605795811411338,0.0039973775108353045,0.10065840836978907,0.08734178328543397,0.09020217545442179
c58bfcbacb2822d1,128667,0.0038272925445149643,0.0010247696557170783,0.0011468962259654253,0.0013449468964941494,0.0016557279719104719,0.02280201995049248,0.013463553935069022,0.005138167878872566,0.0016914253063478842,0.008010105535253852,0.0018837371997275096,0.0023024739700198017
cff6d3c01e6a6bfa,147629,0.14787110011010704,0.06116499811848648,0.08300604810529905,0.09054274427863516,0.09621906755690492,0.18513720761134728,0.16768622576041356,0.09245949255440325,0.015001918751962745,0.16195866519128863,0.08634666265436215,0.09644837849574384
