file,wsd_id,length,train_index,anomaly_points,anomaly_events,max_run,max_run_fraction,anomaly_occupancy,primary_sparse_transient,file_sha256,Sub_PCA_auc_pr,Sub_PCA_auc_roc,Sub_PCA_vus_pr,Sub_PCA_vus_roc,SR_auc_pr,SR_auc_roc,SR_vus_pr,SR_vus_roc,POLY_auc_pr,POLY_auc_roc,POLY_vus_pr,POLY_vus_roc,Sub_IForest_auc_pr,Sub_IForest_auc_roc,Sub_IForest_vus_pr,Sub_IForest_vus_roc,HCRD_auc_pr,HCRD_auc_roc,HCRD_vus_pr,HCRD_vus_roc
029_WSD_id_1_WebService_tr_4559_1st_10201.csv,1,18236,4559,26,1,26,0.0014257512612415,0.0014257512612415,True,07d7c6cf922a480b17addf685a0df665228628944774db4b64ca93cc3aed93df,0.11727702988291941,0.5861741224179444,0.04347132992963987,0.5900931320690083,0.14779512102292378,0.7425864909390444,0.061118891158535214,0.7664161340113362,0.4235239264058065,0.9857284670299497,0.2558127722975694,0.9864103238175255,0.0021555991269835055,0.49597431673214215,0.002099663513870125,0.496924971714977,0.42679990733975565,0.8175864909390445,0.12689532073646162,0.8458686961489471
030_WSD_id_2_WebService_tr_4499_1st_4599.csv,2,18084,4499,88,7,19,0.0010506525105065,0.0048661800486618,True,f7d57a277878f30bae6285316077b29e9d3164b1fa80c3bdfa5289a509ae049c,0.0033097591589351773,0.3238181717149265,0.015093648819377203,0.36990194830451745,0.2316232094222129,0.7370242629675282,0.17479005901289643,0.9374306643006075,0.0070204782943502795,0.6244114853805897,0.029790447921761505,0.6100608001569466,0.003304975782414372,0.29963350441512254,0.007738045910342904,0.379237855880341,0.4983250522003728,0.799788526238154,0.4745720217454426,0.9734968481900064
031_WSD_id_3_WebService_tr_826_1st_926.csv,3,18236,826,39,1,39,0.0021386268918622,0.0021386268918622,True,660d9c84041937e241ade2ebe281a02a474a9961195df69d0ef279ff043eb6a9,0.003668473017450639,0.7051824547016061,0.005153353135329499,0.7126859468287684,0.1853374346204803,0.8186824258154697,0.1510670792269563,0.954684081586486,0.312,0.9976369731274386,0.6952024707972374,0.9989522249075375,0.002698490615734504,0.6220101087386903,0.004325187708523729,0.6892939556242293,0.40151426432509696,0.9985613294949999,0.8218818209665237,0.9996281557351561
034_WSD_id_6_WebService_tr_4559_1st_8461.csv,6,18236,4559,188,4,70,0.0038385610879578,0.0103092783505154,False,0aff24779680aaf84011ebabeb6c333a00ef6c96238e8149d303f3e42bfd7034,0.4347438086353518,0.7496127348347669,0.38719224734834096,0.7580836224410784,0.2674066520119321,0.7404972673343896,0.20870798896822262,0.7533053456921163,0.7121145219686967,0.9816497024483175,0.6777215730134785,0.985837688836221,0.240396943743675,0.7502664290025653,0.1500176532665852,0.7578301742479358,0.6515903709482664,0.9555154929643881,0.6084362143250625,0.9629442938358731
035_WSD_id_7_WebService_tr_4555_1st_11911.csv,7,18220,4555,32,3,12,0.0006586169045005,0.0017563117453347,True,b26a444d988613bf176fc5ec408bc21d9767e23aa26d232ca82e167af8227548,0.0016896859641066012,0.49597777380690566,0.003010796075143033,0.48601302420218606,0.32763698309474865,0.8053129123597977,0.08795641369421067,0.8691385028476746,0.35277777777777775,0.9984055421156807,0.614683849334009,0.9988496734625874,0.0015825610749979127,0.4622295606993622,0.0025947393322980797,0.5064898237435195,0.6408276713609028,0.8683386711018255,0.26648504780735915,0.9653002550814376
036_WSD_id_8_WebService_tr_4504_1st_6898.csv,8,18016,4504,6,2,3,0.0001665186500888,0.0003330373001776,True,61c8c72e14e0b0802052c0775e52e022cd68fa331416009594eb4808b42f4cf8,0.0018016918380675394,0.8108088099204146,0.0019077499311146216,0.795996748380511,0.3337637889809903,0.6658615583934852,0.09096468463082073,0.7659403637503873,0.38341968911917096,0.892772533777531,0.18970234043040177,0.9557444061344406,0.000658195325260551,0.7157967795669073,0.0009167489778601738,0.7223573732278328,0.6336485345602492,0.8640662594854711,0.14139861391592096,0.9341075883845643
037_WSD_id_9_WebService_tr_4583_1st_6214.csv,9,18334,4583,46,3,20,0.00109086942293,0.0025089996727391,True,5d07c633df7d28607ceb0bcbeb899c8976c4592e629a4e300a5261a4a7c2515e,0.3330617984541153,0.8031127562858991,0.09361133711792412,0.7514543240208402,0.17446141933502776,0.7632398531705276,0.048427447988537015,0.8714242650034049,0.5623188405797102,0.9986543801590019,0.5959514141523788,0.9982457379216967,0.04101877067508499,0.9485977975579138,0.07620994124819412,0.9554261804840265,0.24982794548575937,0.58138979230857,0.09926800484897662,0.733852599094568
041_WSD_id_13_WebService_tr_4296_1st_5196.csv,13,17186,4296,156,7,65,0.0037821482602118,0.0090771558245083,True,4d7d6d8da7f5b9a56ff1925013df16299acf15c226c4f08450a30a928d9d0a8d,0.31536487191137497,0.7552968366532665,0.27179421548200045,0.7714629229969118,0.230914607724087,0.7553197976421698,0.15329067963180532,0.7766611144950186,0.4267144390646493,0.9373067136425914,0.4066111081242291,0.9465672702579535,0.06355185460731275,0.7561750003764096,0.050948703529901294,0.7656572952116664,0.41535920340776344,0.9243296144059503,0.38717948895360005,0.9399925527026884
042_WSD_id_14_WebService_tr_3015_1st_3115.csv,14,18308,3015,121,12,16,0.0008739348918505,0.0066091326196198,True,82c6bef41d6455f676a24771fb514d5e366c242e9fc517368308a4aee168ef60,0.013765468605200091,0.7791074998170975,0.018651480025889504,0.7705320235352956,0.48190373999990194,0.848784005649299,0.39854262746701374,0.9145927634937948,0.7213145162796677,0.989719066429704,0.7605760593504214,0.9969368699637542,0.016452279722246933,0.7418213081998902,0.0202405602188792,0.730700556110338,0.5080740010900845,0.8192451514954602,0.537615397907257,0.9028345032622124
044_WSD_id_16_WebService_tr_4559_1st_6975.csv,16,18236,4559,32,1,32,0.0017547707830664,0.0017547707830664,True,ec21a1a89238517e1fc111ab55f84c5025c062de146239f380f55d7b2f20087e,0.17685988976327308,0.7392691853438805,0.0515597077774602,0.7394463749439664,0.09837229493166542,0.5723072539002417,0.044232577854134966,0.5860508055186493,0.3359871753028033,0.9969786860030763,0.3366847468485228,0.997393440584123,0.036894453971982676,0.6980745989892331,0.03576732816017995,0.7020207031083112,0.18056346431728781,0.7189002073720061,0.046804928911705915,0.7348467249644217
