file,wsd_id,length,train_index,anomaly_points,anomaly_events,max_run,max_run_fraction,anomaly_occupancy,primary_sparse_transient,file_sha256,HCRD_vus_pr,POLY_vus_pr,event_count,median_duration_fraction,median_sign_coherence,median_shape_concentration,median_peak_to_background_mad,median_curvature_contrast,hcrd_minus_comparator_vus_pr
029_WSD_id_1_WebService_tr_4559_1st_10201.csv,1,18236,4559,26,1,26,0.0014257512612415,0.0014257512612415,True,07d7c6cf922a480b17addf685a0df665228628944774db4b64ca93cc3aed93df,0.12689532073646162,0.2558127722975694,1.0,0.0014257512612415003,0.4806668638564682,0.1714182092587928,4.738227306870052,6.782213239009601,-0.12891745156110776
030_WSD_id_2_WebService_tr_4499_1st_4599.csv,2,18084,4499,88,7,19,0.0010506525105065,0.0048661800486618,True,f7d57a277878f30bae6285316077b29e9d3164b1fa80c3bdfa5289a509ae049c,0.4745720217454426,0.029790447921761505,7.0,0.0006635700066357001,0.8365351030387709,0.47037715918976025,5.0637123745819395,24.925,0.4447815738236811
031_WSD_id_3_WebService_tr_826_1st_926.csv,3,18236,826,39,1,39,0.0021386268918622,0.0021386268918622,True,660d9c84041937e241ade2ebe281a02a474a9961195df69d0ef279ff043eb6a9,0.8218818209665237,0.6952024707972374,1.0,0.0021386268918622505,1.0,0.05171455050973122,2.9368421052631577,5.571428571428571,0.12667935016928633
035_WSD_id_7_WebService_tr_4555_1st_11911.csv,7,18220,4555,32,3,12,0.0006586169045005,0.0017563117453347,True,b26a444d988613bf176fc5ec408bc21d9767e23aa26d232ca82e167af8227548,0.26648504780735915,0.614683849334009,3.0,0.0005488474204171241,0.44159082844820263,0.3874221002813636,4.883890883890884,50.13479623824451,-0.34819880152664984
036_WSD_id_8_WebService_tr_4504_1st_6898.csv,8,18016,4504,6,2,3,0.0001665186500888,0.0003330373001776,True,61c8c72e14e0b0802052c0775e52e022cd68fa331416009594eb4808b42f4cf8,0.14139861391592096,0.18970234043040177,2.0,0.00016651865008880995,0.9722914386625985,0.9521123828730245,3.953508615500001,15.487490030217103,-0.04830372651448081
037_WSD_id_9_WebService_tr_4583_1st_6214.csv,9,18334,4583,46,3,20,0.00109086942293,0.0025089996727391,True,5d07c633df7d28607ceb0bcbeb899c8976c4592e629a4e300a5261a4a7c2515e,0.09926800484897662,0.5959514141523788,3.0,0.0007636085960510527,0.7711214470284236,0.452148148148148,2.7627538385339276,36.85087719298246,-0.4966834093034022
041_WSD_id_13_WebService_tr_4296_1st_5196.csv,13,17186,4296,156,7,65,0.0037821482602118,0.0090771558245083,True,4d7d6d8da7f5b9a56ff1925013df16299acf15c226c4f08450a30a928d9d0a8d,0.38717948895360005,0.4066111081242291,7.0,0.00040730827417665544,0.975273338940286,0.4945332211942807,6.272544724351946,13.95936794582394,-0.019431619170629078
042_WSD_id_14_WebService_tr_3015_1st_3115.csv,14,18308,3015,121,12,16,0.0008739348918505,0.0066091326196198,True,82c6bef41d6455f676a24771fb514d5e366c242e9fc517368308a4aee168ef60,0.537615397907257,0.7605760593504214,12.0,0.0005188988420362682,0.8553181004121796,0.459579044673173,6.8959694989106755,21.14123417990317,-0.2229606614431644
044_WSD_id_16_WebService_tr_4559_1st_6975.csv,16,18236,4559,32,1,32,0.0017547707830664,0.0017547707830664,True,ec21a1a89238517e1fc111ab55f84c5025c062de146239f380f55d7b2f20087e,0.046804928911705915,0.3366847468485228,1.0,0.001754770783066462,0.9149063037508676,0.3677986662240864,31.300667693888006,28.208521303258156,-0.2898798179368169
046_WSD_id_18_WebService_tr_2357_1st_2457.csv,18,18220,2357,130,11,16,0.0008781558726673,0.0071350164654226,True,0c88676e60932032f873c0fe6baeae0d6f6ace0c4efae33ff72ca93febc2b8c2,0.8593790525178974,0.04814936953623479,11.0,0.0006037321624588365,0.7514080742020913,0.4603687724576956,4.624367683191212,22.18918918918919,0.8112296829816625
