suite,noise_sigma,trial,seed,method,parameter,baseline_mse,baseline_nmse
exact,0.03,8,20261409,emd_residue,default,0.08043072166815513,0.0191036961332901
exact,0.03,8,20261409,vmd_low_mode,K=5;alpha=2000,0.00921587756124714,0.0021889313048570874
exact,0.03,8,20261409,l1_trend_oracle,lambda=300,0.06599992090881855,0.015676129813497048
exact,0.03,8,20261409,gaussian_oracle,sigma=32,0.002900526946290945,0.0006889256276597705
exact,0.03,9,20261410,hcrd_centered,none,0.896208906177978,0.4228916355406817
exact,0.03,9,20261410,hcrd_thresholded,z=3.5,0.0001483940676334162,7.00223011994566e-05
exact,0.03,9,20261410,hcrd_adaptive_guided,pilot-calibrated,0.008968712341176329,0.004232041664067936
exact,0.03,9,20261410,emd_residue,default,0.0075377913611254415,0.003556836910564824
exact,0.03,9,20261410,vmd_low_mode,K=5;alpha=2000,0.012783492448301384,0.006032111477712254
exact,0.03,9,20261410,l1_trend_oracle,lambda=300,0.053203906804535815,0.025105181404274046
exact,0.03,9,20261410,gaussian_oracle,sigma=32,0.00769669096429292,0.003631816429968211
exact,0.03,10,20261411,hcrd_centered,none,0.8608481666774784,0.9020811082074327
exact,0.03,10,20261411,hcrd_thresholded,z=3.5,0.0009610511744873582,0.0010070836438807415
exact,0.03,10,20261411,hcrd_adaptive_guided,pilot-calibrated,0.014863837159189954,0.015575785853767657
exact,0.03,10,20261411,emd_residue,default,0.0003996374180911098,0.0004187792678750639
exact,0.03,10,20261411,vmd_low_mode,K=5;alpha=2000,0.025474092087318812,0.026694251216679673
exact,0.03,10,20261411,l1_trend_oracle,lambda=300,0.04955402976168192,0.05192757075396071
exact,0.03,10,20261411,gaussian_oracle,sigma=64,0.005209052927333457,0.0054585563625421975
exact,0.03,11,20261412,hcrd_centered,none,0.5377929342945048,0.8102695510276708
exact,0.03,11,20261412,hcrd_thresholded,z=3.5,0.0006834549147619724,0.0010297322103316766
exact,0.03,11,20261412,hcrd_adaptive_guided,pilot-calibrated,0.014243817110306105,0.021460548398666297
exact,0.03,11,20261412,emd_residue,default,0.001007837475574142,0.0015184655036674876
exact,0.03,11,20261412,vmd_low_mode,K=5;alpha=2000,0.013638138591453653,0.020547998548636228
exact,0.03,11,20261412,l1_trend_oracle,lambda=300,0.0232499356954434,0.035029681046446645
exact,0.03,11,20261412,gaussian_oracle,sigma=64,0.0009914914696350467,0.001493837677512164
exact,0.03,12,20261413,hcrd_centered,none,0.5575615146947065,0.3844955984028837
exact,0.03,12,20261413,hcrd_thresholded,z=3.5,3.1631871670835226e-05,2.181340552771205e-05
exact,0.03,12,20261413,hcrd_adaptive_guided,pilot-calibrated,0.007381714690691884,0.00509044604484765
exact,0.03,12,20261413,emd_residue,default,0.006688324315423785,0.0046122825772498405
exact,0.03,12,20261413,vmd_low_mode,K=5;alpha=2000,0.007232152569543902,0.004987307690148464
exact,0.03,12,20261413,l1_trend_oracle,lambda=300,0.025023017908188897,0.01725592601154204
exact,0.03,12,20261413,gaussian_oracle,sigma=32,0.003953776541071204,0.002726532655222535
