baseline_mse,knot_count,latent_index,method,noise_sigma,repetition,target_knot_f1
0.08673767049361089,9,1,hcrd_quadratic_guided,0.01,4,0.7142857142857143
0.9827865778936014,95,1,hcrd_raw,0.01,5,0.14
0.29365183043662335,2,1,hcrd_robust,0.01,5,0.0
0.09434419359546983,11,1,hcrd_gaussian_guided,0.01,5,0.5
0.061639273192530784,9,1,hcrd_adaptive_guided,0.01,5,0.5714285714285714
0.08574637453540683,9,1,hcrd_quadratic_guided,0.01,5,0.7142857142857143
0.9799998750123566,101,1,hcrd_raw,0.01,6,0.1320754716981132
0.28095942356430764,2,1,hcrd_robust,0.01,6,0.0
0.09649212878130801,11,1,hcrd_gaussian_guided,0.01,6,0.375
0.06568292724976033,9,1,hcrd_adaptive_guided,0.01,6,0.42857142857142855
0.08613213863500337,9,1,hcrd_quadratic_guided,0.01,6,0.7142857142857143
0.9788381996141368,97,1,hcrd_raw,0.01,7,0.11764705882352942
0.28720729428666514,2,1,hcrd_robust,0.01,7,0.0
0.09494123396819064,11,1,hcrd_gaussian_guided,0.01,7,0.5
0.06201086391035491,9,1,hcrd_adaptive_guided,0.01,7,0.5714285714285714
0.09370090677500714,9,1,hcrd_quadratic_guided,0.01,7,0.5714285714285714
0.9892145482558852,101,1,hcrd_raw,0.01,8,0.1320754716981132
0.2968970710728408,2,1,hcrd_robust,0.01,8,0.0
0.09661590465732511,11,1,hcrd_gaussian_guided,0.01,8,0.375
0.06393753664567578,9,1,hcrd_adaptive_guided,0.01,8,0.42857142857142855
0.08575998356638044,9,1,hcrd_quadratic_guided,0.01,8,0.7142857142857143
0.9788270207126437,97,1,hcrd_raw,0.01,9,0.1372549019607843
0.2913534066364304,2,1,hcrd_robust,0.01,9,0.0
0.09436293479492824,11,1,hcrd_gaussian_guided,0.01,9,0.5
0.09431210507939888,11,1,hcrd_adaptive_guided,0.01,9,0.5
0.08685233732603205,9,1,hcrd_quadratic_guided,0.01,9,0.7142857142857143
0.765589519424205,102,2,hcrd_raw,0.01,0,0.13084112149532712
0.018815653231784062,3,2,hcrd_robust,0.01,0,0.25
0.07213014647541766,11,2,hcrd_gaussian_guided,0.01,0,0.25
0.07204928993051171,11,2,hcrd_adaptive_guided,0.01,0,0.25
0.06361817740798882,9,2,hcrd_quadratic_guided,0.01,0,0.8571428571428571
0.764270931184026,107,2,hcrd_raw,0.01,1,0.125
0.06861176986204788,3,2,hcrd_robust,0.01,1,0.25
0.06903825026892825,11,2,hcrd_gaussian_guided,0.01,1,0.375
0.060095852641825556,9,2,hcrd_adaptive_guided,0.01,1,0.42857142857142855
0.0630083832321548,9,2,hcrd_quadratic_guided,0.01,1,0.8571428571428571
0.75794186836718,103,2,hcrd_raw,0.01,2,0.12962962962962962
0.31367362438105656,2,2,hcrd_robust,0.01,2,0.0
