noise_sigma,latent_index,method,mean_target_knot_f1,mean_baseline_mse,median_pairwise_knot_jaccard
0.01,16,hcrd_gaussian_guided,0.6250000000000001,0.04242394609573206,1.0
0.01,16,hcrd_adaptive_guided,0.7095238095238094,0.027909075106047766,1.0
0.01,16,hcrd_quadratic_guided,0.8571428571428571,0.0391434474496885,1.0
0.01,17,hcrd_raw,0.12286900094533357,0.7215358439634796,0.7863247863247863
0.01,17,hcrd_robust,0.0,0.20254956419215242,1.0
0.01,17,hcrd_gaussian_guided,0.45,0.05975872913096998,1.0
0.01,17,hcrd_adaptive_guided,0.5160714285714285,0.04831624785840076,1.0
0.01,17,hcrd_quadratic_guided,0.5714285714285714,0.05743403188405257,1.0
0.01,18,hcrd_raw,0.13404555216790676,0.9828983357628482,0.7155963302752294
0.01,18,hcrd_robust,0.0,0.1852428060135906,1.0
0.01,18,hcrd_gaussian_guided,0.375,0.16534309383230678,1.0
0.01,18,hcrd_adaptive_guided,0.3775,0.15722750030632876,1.0
0.01,18,hcrd_quadratic_guided,0.5714285714285714,0.14805574132772187,1.0
0.01,19,hcrd_raw,0.12367151931627565,0.7802838248428317,0.7478260869565218
0.01,19,hcrd_robust,0.0,0.13616048337984119,1.0
0.01,19,hcrd_gaussian_guided,0.3875,0.07188219106088715,1.0
0.01,19,hcrd_adaptive_guided,0.4428571428571428,0.05734780969638301,1.0
0.01,19,hcrd_quadratic_guided,1.0,0.049534044633029385,1.0
0.01,20,hcrd_raw,0.1335205993498262,0.9451951702519562,0.7256637168141593
0.01,20,hcrd_robust,0.075,0.36336128827072917,0.6666666666666666
0.01,20,hcrd_gaussian_guided,0.375,0.0706031422433782,1.0
0.01,20,hcrd_adaptive_guided,0.39535714285714285,0.06089352747704844,0.9090909090909091
0.01,20,hcrd_quadratic_guided,0.5714285714285714,0.07695798993430099,1.0
0.01,21,hcrd_raw,0.13654849768715197,1.0336853515759288,0.6991150442477876
0.01,21,hcrd_robust,0.025,0.210714686940105,1.0
0.01,21,hcrd_gaussian_guided,0.5,0.06805679752497835,1.0
0.01,21,hcrd_adaptive_guided,0.5071428571428571,0.0640510244268925,1.0
0.01,21,hcrd_quadratic_guided,0.7142857142857143,0.06949078600525097,1.0
0.01,22,hcrd_raw,0.1387138704577946,1.0269504424888363,0.6929824561403509
0.01,22,hcrd_robust,0.025,0.6598524108559827,1.0
0.01,22,hcrd_gaussian_guided,0.4875,0.10557065020027437,1.0
0.01,22,hcrd_adaptive_guided,0.48880952380952375,0.09047747522974144,0.9090909090909091
0.01,22,hcrd_quadratic_guided,0.7142857142857143,0.0929309044288624,1.0
0.01,23,hcrd_raw,0.122852137625074,0.7541102267949616,0.768595041322314
0.01,23,hcrd_robust,0.0,0.12913306468863622,1.0
0.01,23,hcrd_gaussian_guided,0.30166666666666664,0.10600327152810533,1.0
0.01,23,hcrd_adaptive_guided,0.3410714285714285,0.0838106774799255,1.0
0.01,23,hcrd_quadratic_guided,0.7,0.0953035092183793,1.0
0.01,24,hcrd_raw,0.12365035926962431,0.5569074835159743,0.7913043478260869
0.01,24,hcrd_robust,0.0,0.7175279731269216,1.0
0.01,24,hcrd_gaussian_guided,0.525,0.04256175882202975,1.0
0.01,24,hcrd_adaptive_guided,0.5952380952380952,0.02853413836195965,1.0
0.01,24,hcrd_quadratic_guided,0.5714285714285714,0.03775237003118248,1.0
0.01,25,hcrd_raw,0.1286402620851446,0.8812223135068828,0.7478260869565218
0.01,25,hcrd_robust,0.075,0.4988024000482924,0.6666666666666666
0.01,25,hcrd_gaussian_guided,0.1375,0.12885639806556337,1.0
0.01,25,hcrd_adaptive_guided,0.14285714285714285,0.11493349455485158,1.0
0.01,25,hcrd_quadratic_guided,0.5714285714285714,0.10898055526288435,1.0
