domain,series,HCRD,Sub-PCA,MMPAD,StreamVAE,POLY,KShapeAD,Series2Graph,MatrixProfile,TSPulse (ZS),TSPulse (FT),Time-RCD+MAFT (FT)
Environment,18,0.128172151346162,0.13700301201953452,0.4817314583908293,0.14695738556300764,0.1769445605993074,0.24568065596738675,0.14339411121944795,0.2347446797880284,0.44017555555555554,0.5092533333333333,0.6745410420434562
Facility,87,0.4330253956610744,0.5573813387552187,0.39788801169304727,0.6590720171902154,0.5649329556084334,0.26112134932779835,0.44370666827406724,0.34282221262681245,0.6528750574712644,0.70244,0.6512441205249376
Finance,8,0.7169670763923465,0.8397602263112827,0.5855270913038294,0.7807607889896401,0.8246315402762046,0.7454217295916575,0.7850058146602269,0.7214304997512572,0.9830975,0.9830975,0.8840954822972208
HumanActivity,43,0.1446029368338258,0.6091389521068343,0.2641172387051179,0.5445404766109064,0.09343227540757501,0.24385655706575646,0.11094465748360173,0.1871815968697567,0.07217720930232557,0.12911651162790697,0.5293831150205336
Medical,47,0.10485550661828842,0.40351975441872495,0.6573323338291656,0.43016501867561296,0.3638412273483002,0.7724350633333953,0.5596047982560156,0.48439451583598186,0.2777146808510638,0.5188282978723404,0.3933648449298248
Sensor,39,0.33826159039075393,0.41273908334388193,0.5451687727619227,0.3742326114574096,0.43085648252417813,0.5850034364366538,0.4803922747445354,0.47477224577321836,0.4873169230769231,0.5884984615384615,0.4798409335720991
Synthetic,39,0.5965151999189953,0.24087266866041432,0.6570250515305022,0.33857907046850994,0.34429099123252266,0.4864215179563524,0.41685185325123797,0.5840547538974297,0.5965720512820513,0.6128379487179487,0.710429627804642
Traffic,5,0.2033205380324182,0.33238515855382383,0.23119925103258088,0.563921709564881,0.44211278696009976,0.4010873870128844,0.32852149185356516,0.23452562551230266,0.561562,0.60394,0.3395227978692655
WebService,64,0.42300468751457154,0.28433058444158915,0.24509083090979022,0.2700292242694496,0.37379243410494706,0.2591497331092091,0.32288165883089237,0.14476216276812098,0.53475875,0.54849046875,0.6205587911055384
