stratum,baseline,baseline_pretrained,paired_series,hcrd_mean_vus_pr,baseline_mean_vus_pr,mean_difference,bootstrap_95_low,bootstrap_95_high,wins,ties,losses
all,Sub-PCA,False,350,0.3468782210456346,0.42338473549148065,-0.07650651444584605,-0.1205538724818384,-0.03169319872068681,156,0,194
all,MMPAD,False,350,0.3468782210456346,0.43985905581098733,-0.09298083476535274,-0.14229265705688987,-0.044627584208245516,149,9,192
all,StreamVAE,False,350,0.3468782210456346,0.45075633033086515,-0.1038781092852306,-0.1473162245259954,-0.059180152182606985,141,0,209
all,POLY,False,350,0.3468782210456346,0.3897525093510147,-0.042874288305380086,-0.07538925631099722,-0.010350523211712849,138,0,212
all,KShapeAD,False,350,0.3468782210456346,0.40077158869012236,-0.05389336764448776,-0.1050498104557527,-0.002563935505146326,172,6,172
all,Series2Graph,False,350,0.3468782210456346,0.38810063161480984,-0.0412224105691752,-0.08008854055035887,-0.00255811544204361,172,0,178
all,MatrixProfile,False,350,0.3468782210456346,0.3496268319265556,-0.0027486108809209953,-0.04530827779089706,0.039748248063163,178,0,172
all,TSPulse (ZS),True,350,0.3468782210456346,0.4801380571428571,-0.1332598360972225,-0.15944711315203217,-0.10698284165296448,109,14,227
all,TSPulse (FT),True,350,0.3468782210456346,0.5515879142857143,-0.20470969324007968,-0.23415473595778427,-0.17521996174046825,74,14,262
all,Time-RCD+MAFT (FT),True,350,0.3468782210456346,0.585595117920594,-0.23871689687495956,-0.2694137418097551,-0.2081898154869115,44,14,292
point_anomaly,Sub-PCA,False,49,0.6754912729487984,0.35659643341903874,0.3188948395297596,0.19544647368451706,0.44508297212148135,41,0,8
point_anomaly,MMPAD,False,49,0.6754912729487984,0.5948378107768765,0.08065346217192186,-0.0356326836642127,0.1946936767538264,29,9,11
point_anomaly,StreamVAE,False,49,0.6754912729487984,0.33087623982267445,0.3446150331261239,0.22162523368607726,0.47037800746340075,45,0,4
point_anomaly,POLY,False,49,0.6754912729487984,0.4094084440129687,0.2660828289358297,0.16710998637899432,0.36617870786031276,40,0,9
point_anomaly,KShapeAD,False,49,0.6754912729487984,0.6003216847315531,0.07516958821724529,-0.06315784543860192,0.21304746464883798,28,6,15
point_anomaly,Series2Graph,False,49,0.6754912729487984,0.41364776057065755,0.2618435123781409,0.1406380678302565,0.3842144944297178,42,0,7
point_anomaly,MatrixProfile,False,49,0.6754912729487984,0.5401555407119744,0.135335732236824,0.040742639439784234,0.22864973386702095,37,0,12
point_anomaly,TSPulse (ZS),True,49,0.6754912729487984,0.7806677551020409,-0.10517648215324242,-0.18755032338605282,-0.030768975176270787,15,14,20
point_anomaly,TSPulse (FT),True,49,0.6754912729487984,0.7781061224489796,-0.1026148495001812,-0.18590854017288697,-0.029844562219965547,14,14,21
point_anomaly,Time-RCD+MAFT (FT),True,49,0.6754912729487984,0.8418281804581877,-0.1663369075093894,-0.2416268059787325,-0.09984550211504027,5,13,31
no_point_anomaly,Sub-PCA,False,301,0.2933830730613987,0.43425724978234337,-0.14087417672094465,-0.18441992419015352,-0.09738524467027543,115,0,186
no_point_anomaly,MMPAD,False,301,0.2933830730613987,0.41462995616537746,-0.12124688310397884,-0.17399501933763198,-0.06890088382576219,120,0,181
no_point_anomaly,StreamVAE,False,301,0.2933830730613987,0.47027169390196605,-0.1768886208405674,-0.21793197091664415,-0.13522992120793217,96,0,205
no_point_anomaly,POLY,False,301,0.2933830730613987,0.3865527060339525,-0.09316963297255378,-0.1248931277651148,-0.06187549222560694,98,0,203
