noise_sigma,trial,signal_seed,method,parameter,baseline_mse,if_reconstruction_error,if_seconds
0.0,0,20261202,hcrd_centered,none,0.0,4.440892098500626e-16,6.187318500014953
0.0,0,20261202,hcrd_thresholded,z=3.5,3.288319298043265e-33,4.440892098500626e-16,6.187318500014953
0.0,0,20261202,if_final,tail=1,0.06033050922861483,4.440892098500626e-16,6.187318500014953
0.0,0,20261202,if_oracle_tail,tail=1,0.06033050922861483,4.440892098500626e-16,6.187318500014953
0.0,1,20261203,hcrd_centered,none,0.0,8.881784197001252e-16,6.2933022999204695
0.0,1,20261203,hcrd_thresholded,z=3.5,2.5668674396539733e-31,8.881784197001252e-16,6.2933022999204695
0.0,1,20261203,if_final,tail=1,0.19314179620713692,8.881784197001252e-16,6.2933022999204695
0.0,1,20261203,if_oracle_tail,tail=1,0.19314179620713692,8.881784197001252e-16,6.2933022999204695
0.0,2,20261204,hcrd_centered,none,0.0,8.881784197001252e-16,6.4133614000165835
0.0,2,20261204,hcrd_thresholded,z=3.5,1.2633744475365643e-31,8.881784197001252e-16,6.4133614000165835
0.0,2,20261204,if_final,tail=1,0.24997309761701933,8.881784197001252e-16,6.4133614000165835
0.0,2,20261204,if_oracle_tail,tail=1,0.24997309761701933,8.881784197001252e-16,6.4133614000165835
0.0,3,20261205,hcrd_centered,none,0.0,4.440892098500626e-16,6.433249900001101
0.0,3,20261205,hcrd_thresholded,z=3.5,3.41721422039136e-33,4.440892098500626e-16,6.433249900001101
0.0,3,20261205,if_final,tail=1,0.08087795748013112,4.440892098500626e-16,6.433249900001101
0.0,3,20261205,if_oracle_tail,tail=1,0.08087795748013112,4.440892098500626e-16,6.433249900001101
0.0,4,20261206,hcrd_centered,none,0.0,2.220446049250313e-16,6.280492699937895
0.0,4,20261206,hcrd_thresholded,z=3.5,1.4917058073635476e-33,2.220446049250313e-16,6.280492699937895
0.0,4,20261206,if_final,tail=1,0.1770644894067595,2.220446049250313e-16,6.280492699937895
0.0,4,20261206,if_oracle_tail,tail=1,0.1770644894067595,2.220446049250313e-16,6.280492699937895
0.0,5,20261207,hcrd_centered,none,0.0,8.881784197001252e-16,6.461822700104676
0.0,5,20261207,hcrd_thresholded,z=3.5,1.0815183251905287e-32,8.881784197001252e-16,6.461822700104676
0.0,5,20261207,if_final,tail=1,0.08842258406944026,8.881784197001252e-16,6.461822700104676
0.0,5,20261207,if_oracle_tail,tail=1,0.08842258406944026,8.881784197001252e-16,6.461822700104676
