suite,noise_sigma,trial,seed,method,parameter,baseline_mse,baseline_nmse
exact,0.0,8,20261009,vmd_low_mode,K=5;alpha=2000,0.012605581836441485,0.008245876974265483
exact,0.0,8,20261009,l1_trend_oracle,lambda=30,0.6075700153401247,0.39743882232107686
exact,0.0,8,20261009,gaussian_oracle,sigma=64,0.008196464946246582,0.005361675680470491
exact,0.0,9,20261010,hcrd_centered,none,0.0,0.0
exact,0.0,9,20261010,hcrd_thresholded,z=3.5,2.7913244579196794e-32,1.96471706367726e-32
exact,0.0,9,20261010,hcrd_adaptive_guided,pilot-calibrated,0.008155498483447243,0.005740374246985473
exact,0.0,9,20261010,emd_residue,default,0.006112777793335444,0.004302573569675346
exact,0.0,9,20261010,vmd_low_mode,K=5;alpha=2000,0.6651208961339883,0.4681556708089289
exact,0.0,9,20261010,l1_trend_oracle,lambda=30,0.3170779916450301,0.22318026803870475
exact,0.0,9,20261010,gaussian_oracle,sigma=32,0.0019933087269275885,0.0014030212997489238
exact,0.03,0,20261301,hcrd_centered,none,0.6170650444557871,0.9064565511050987
exact,0.03,0,20261301,hcrd_thresholded,z=3.5,0.00042015610251457304,0.0006172011444061119
exact,0.03,0,20261301,hcrd_adaptive_guided,pilot-calibrated,0.015723500194956656,0.02309751603348513
exact,0.03,0,20261301,emd_residue,default,0.00788763608512974,0.01158678402923391
exact,0.03,0,20261301,vmd_low_mode,K=5;alpha=2000,0.018354277576639717,0.026962076850131085
exact,0.03,0,20261301,l1_trend_oracle,lambda=30,0.441255468556179,0.6481957028313843
exact,0.03,0,20261301,gaussian_oracle,sigma=64,0.003856135778759151,0.005664588474120643
exact,0.03,1,20261302,hcrd_centered,none,0.9516246380767437,0.3521888483250398
exact,0.03,1,20261302,hcrd_thresholded,z=3.5,8.402841234790696e-05,3.109825932123913e-05
exact,0.03,1,20261302,hcrd_adaptive_guided,pilot-calibrated,0.013493792559944031,0.00499394726772556
exact,0.03,1,20261302,emd_residue,default,0.07683110835504134,0.02843459330959039
exact,0.03,1,20261302,vmd_low_mode,K=5;alpha=2000,0.08855027531314168,0.032771765498242116
exact,0.03,1,20261302,l1_trend_oracle,lambda=30,0.6845412586601406,0.2533433749737001
exact,0.03,1,20261302,gaussian_oracle,sigma=32,0.11337670597117315,0.04195983364152241
exact,0.03,2,20261303,hcrd_centered,none,0.7607332545903724,1.0252037636002382
exact,0.03,2,20261303,hcrd_thresholded,z=3.5,0.00017174941822695956,0.00023145846313402202
exact,0.03,2,20261303,hcrd_adaptive_guided,pilot-calibrated,0.017160205183833672,0.02312598645117945
exact,0.03,2,20261303,emd_residue,default,0.025317037329425297,0.03411855837340835
exact,0.03,2,20261303,vmd_low_mode,K=5;alpha=2000,0.03003183095147102,0.040472459871407684
exact,0.03,2,20261303,l1_trend_oracle,lambda=30,0.5456687214839816,0.7353715951927678
exact,0.03,2,20261303,gaussian_oracle,sigma=64,0.023490331965585955,0.031656795064526524
exact,0.03,3,20261304,hcrd_centered,none,0.542021615572068,0.7992540938630277
exact,0.03,3,20261304,hcrd_thresholded,z=3.5,0.0001768913610760233,0.00026084041751692173
exact,0.03,3,20261304,hcrd_adaptive_guided,pilot-calibrated,0.01264093285534362,0.018640063504142095
exact,0.03,3,20261304,emd_residue,default,0.0060656040775251075,0.008944216893633505
exact,0.03,3,20261304,vmd_low_mode,K=5;alpha=2000,0.014511166026886688,0.021397871451075315
exact,0.03,3,20261304,l1_trend_oracle,lambda=30,0.3883793937600345,0.5726963861157588
exact,0.03,3,20261304,gaussian_oracle,sigma=64,0.0011617154587145,0.0017130420809907236
exact,0.03,4,20261305,hcrd_centered,none,0.5774959878557268,0.5817250474493769
exact,0.03,4,20261305,hcrd_thresholded,z=3.5,0.0013921038457775376,0.001402298358377015
exact,0.03,4,20261305,hcrd_adaptive_guided,pilot-calibrated,0.010227162788244513,0.010302057301479215
exact,0.03,4,20261305,emd_residue,default,0.006744865684797079,0.006794258995801864
exact,0.03,4,20261305,vmd_low_mode,K=5;alpha=2000,0.040752316821718516,0.04105075002306124
exact,0.03,4,20261305,l1_trend_oracle,lambda=30,0.41304090561387535,0.41606564455785
exact,0.03,4,20261305,gaussian_oracle,sigma=32,0.04988153308020512,0.05024682042497455
exact,0.03,5,20261306,hcrd_centered,none,0.769720755170121,0.33304316295525077
exact,0.03,5,20261306,hcrd_thresholded,z=3.5,0.0003897460958748525,0.00016863553652120614
exact,0.03,5,20261306,hcrd_adaptive_guided,pilot-calibrated,0.01942923438046317,0.008406650890475481
exact,0.03,5,20261306,emd_residue,default,0.010031052236524328,0.004340240720003762
exact,0.03,5,20261306,vmd_low_mode,K=5;alpha=2000,0.008703805134742068,0.0037659667773671784
exact,0.03,5,20261306,l1_trend_oracle,lambda=30,0.554709172716609,0.24001184346523036
exact,0.03,5,20261306,gaussian_oracle,sigma=32,0.004042766981128661,0.0017492264479584674
exact,0.03,6,20261307,hcrd_centered,none,0.8995020179324267,0.9436910583867457
exact,0.03,6,20261307,hcrd_thresholded,z=3.5,0.00044768215565242663,0.00046967504115175406
exact,0.03,6,20261307,hcrd_adaptive_guided,pilot-calibrated,0.019293020965534948,0.02024081215103076
exact,0.03,6,20261307,emd_residue,default,0.05575267682955067,0.05849158929749654
exact,0.03,6,20261307,vmd_low_mode,K=5;alpha=2000,0.04485825972614186,0.047061971795965975
exact,0.03,6,20261307,l1_trend_oracle,lambda=30,0.6434653999025083,0.6750763557651805
exact,0.03,6,20261307,gaussian_oracle,sigma=32,0.05062730237847538,0.05311442510671317
exact,0.03,7,20261308,hcrd_centered,none,1.1816409848153704,0.5047823494860402
exact,0.03,7,20261308,hcrd_thresholded,z=3.5,0.00013068903253599673,5.582873118258133e-05
exact,0.03,7,20261308,hcrd_adaptive_guided,pilot-calibrated,0.012853718162606146,0.005490948720575657
exact,0.03,7,20261308,emd_residue,default,0.015505150202674059,0.006623607550023053
exact,0.03,7,20261308,vmd_low_mode,K=5;alpha=2000,0.0187145121499855,0.007994607104822762
exact,0.03,7,20261308,l1_trend_oracle,lambda=30,0.8466332142507913,0.3616711916176534
exact,0.03,7,20261308,gaussian_oracle,sigma=32,0.01360425458417219,0.005811568556144536
exact,0.03,8,20261309,hcrd_centered,none,1.077891803619692,0.8822632738869141
exact,0.03,8,20261309,hcrd_thresholded,z=3.5,0.00022276500135090603,0.00018233497902041439
exact,0.03,8,20261309,hcrd_adaptive_guided,pilot-calibrated,0.015692489218543236,0.012844431015148433
exact,0.03,8,20261309,emd_residue,default,0.05628833321122725,0.04607246197977083
exact,0.03,8,20261309,vmd_low_mode,K=5;alpha=2000,0.056893167958967705,0.046567524177024845
exact,0.03,8,20261309,l1_trend_oracle,lambda=30,0.7721080549175935,0.631976769874761
exact,0.03,8,20261309,gaussian_oracle,sigma=32,0.06533637428897225,0.05347835774473307
exact,0.03,9,20261310,hcrd_centered,none,0.6121641382592483,0.783109335008065
exact,0.03,9,20261310,hcrd_thresholded,z=3.5,0.00030844610439924254,0.00039457885329379606
exact,0.03,9,20261310,hcrd_adaptive_guided,pilot-calibrated,0.010572362962809017,0.013524667016288069
exact,0.03,9,20261310,emd_residue,default,0.0007772096416246652,0.0009942433533353962
exact,0.03,9,20261310,vmd_low_mode,K=5;alpha=2000,0.015403122811526726,0.019704403620053153
exact,0.03,9,20261310,l1_trend_oracle,lambda=30,0.4339552690866908,0.5551361162123585
exact,0.03,9,20261310,gaussian_oracle,sigma=64,0.0010039470196418216,0.0012842965371520733
exact,0.1,0,20262001,hcrd_centered,none,0.8444071318510229,0.9993145759672065
exact,0.1,0,20262001,hcrd_thresholded,z=3.5,4.853729383983096e-06,5.744151533374762e-06
exact,0.1,0,20262001,hcrd_adaptive_guided,pilot-calibrated,0.06585825872279559,0.07794003082996265
exact,0.1,0,20262001,emd_residue,default,0.0019505520989716951,0.0023083830893433767
exact,0.1,0,20262001,vmd_low_mode,K=5;alpha=2000,0.049574285571762945,0.05866874437266571
exact,0.1,0,20262001,l1_trend_oracle,lambda=30,0.6011221772697134,0.7113987210955364
exact,0.1,0,20262001,gaussian_oracle,sigma=32,0.044672440803192534,0.05286765063293965
exact,0.1,1,20262002,hcrd_centered,none,1.134822423184181,0.7920354450979785
exact,0.1,1,20262002,hcrd_thresholded,z=3.5,0.0017102235702414236,0.0011936296454845218
exact,0.1,1,20262002,hcrd_adaptive_guided,pilot-calibrated,0.06660375715025249,0.04648527854400371
exact,0.1,1,20262002,emd_residue,default,0.008946675388318007,0.006244222777560957
exact,0.1,1,20262002,vmd_low_mode,K=5;alpha=2000,0.0740093816865406,0.051653943707818055
exact,0.1,1,20262002,l1_trend_oracle,lambda=30,0.7959513495886997,0.5555245195798404
exact,0.1,1,20262002,gaussian_oracle,sigma=32,0.07738928795760902,0.05401290799430418
exact,0.1,2,20262003,hcrd_centered,none,1.1660610298815857,0.743722228769016
exact,0.1,2,20262003,hcrd_thresholded,z=3.5,0.004246973703562295,0.0027087508006827968
exact,0.1,2,20262003,hcrd_adaptive_guided,pilot-calibrated,0.05905480055492291,0.03766558247185152
exact,0.1,2,20262003,emd_residue,default,0.030228149769229846,0.01927973437223799
exact,0.1,2,20262003,vmd_low_mode,K=5;alpha=2000,0.04452319920327367,0.028397221152951322
exact,0.1,2,20262003,l1_trend_oracle,lambda=30,0.8234787399825962,0.5252207458694946
exact,0.1,2,20262003,gaussian_oracle,sigma=64,0.0017871794357098036,0.0011398760777308757
exact,0.1,3,20262004,hcrd_centered,none,0.6661198857226014,0.40620993540637046
exact,0.1,3,20262004,hcrd_thresholded,z=3.5,0.001274535442614791,0.0007772309022962975
exact,0.1,3,20262004,hcrd_adaptive_guided,pilot-calibrated,0.03507925390972424,0.02139185718696112
exact,0.1,3,20262004,emd_residue,default,0.012550183117687639,0.007653290620567105
exact,0.1,3,20262004,vmd_low_mode,K=5;alpha=2000,0.05163561025117115,0.03148817255627095
exact,0.1,3,20262004,l1_trend_oracle,lambda=30,0.4655358763981716,0.2838907865299795
exact,0.1,3,20262004,gaussian_oracle,sigma=32,0.06785199359081442,0.04137716727045161
exact,0.1,4,20262005,hcrd_centered,none,0.7135995703835725,0.8516979057866084
exact,0.1,4,20262005,hcrd_thresholded,z=3.5,0.005825627220896076,0.00695302338994355
exact,0.1,4,20262005,hcrd_adaptive_guided,pilot-calibrated,0.04369350054203192,0.0521492226909997
exact,0.1,4,20262005,emd_residue,default,0.024154972982240834,0.028829529552895347
exact,0.1,4,20262005,vmd_low_mode,K=5;alpha=2000,0.03156741397550854,0.03767645257912346
exact,0.1,4,20262005,l1_trend_oracle,lambda=30,0.5102507599243947,0.608996307859376
exact,0.1,4,20262005,gaussian_oracle,sigma=64,0.002841246868180012,0.0033910951013478683
exact,0.1,5,20262006,hcrd_centered,none,1.1250393333979214,0.3238132690941128
exact,0.1,5,20262006,hcrd_thresholded,z=3.5,0.004411462222271561,0.0012697244987555322
exact,0.1,5,20262006,hcrd_adaptive_guided,pilot-calibrated,0.03293321548640452,0.009478968291912712
exact,0.1,5,20262006,emd_residue,default,0.030871389306947584,0.008885525328938873
exact,0.1,5,20262006,vmd_low_mode,K=5;alpha=2000,0.030852795462968933,0.00888017357524901
exact,0.1,5,20262006,l1_trend_oracle,lambda=30,0.8281257107561634,0.2383544162948769
exact,0.1,5,20262006,gaussian_oracle,sigma=32,0.006505027867114551,0.0018723028401475786
exact,0.1,6,20262007,hcrd_centered,none,0.5932267990478117,0.976511467425317
exact,0.1,6,20262007,hcrd_thresholded,z=3.5,0.024677044841307505,0.040620918185733185
exact,0.1,6,20262007,hcrd_adaptive_guided,pilot-calibrated,0.040904004679578845,0.06733213957518515
exact,0.1,6,20262007,emd_residue,default,0.01888340313517035,0.031083996432910394
exact,0.1,6,20262007,vmd_low_mode,K=5;alpha=2000,0.02967765231832075,0.04885242517974317
exact,0.1,6,20262007,l1_trend_oracle,lambda=30,0.4174342114456912,0.687139041976269
exact,0.1,6,20262007,gaussian_oracle,sigma=64,0.008515958993298066,0.014018132064207519
exact,0.1,7,20262008,hcrd_centered,none,0.8823201684254678,0.18667041356236524
exact,0.1,7,20262008,hcrd_thresholded,z=3.5,0.02750971018196134,0.005820165015395229
exact,0.1,7,20262008,hcrd_adaptive_guided,pilot-calibrated,0.020305923651757783,0.004296076754772307
exact,0.1,7,20262008,emd_residue,default,0.36641174261801995,0.07752087504774127
exact,0.1,7,20262008,vmd_low_mode,K=5;alpha=2000,0.01673110210548858,0.003539760124671274
exact,0.1,7,20262008,l1_trend_oracle,lambda=30,0.634052774729702,0.1341450619794563
exact,0.1,7,20262008,gaussian_oracle,sigma=32,0.002335376894534929,0.0004940902252124514
exact,0.1,8,20262009,hcrd_centered,none,0.9835147282844279,0.9501090299051017
