noise_sigma,ratio,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.01,30.0,0.3,5,4,0.5814862155824596,0.6687425796187809,0.0,9
0.01,30.0,0.3,6,0,1.336601192982053,0.6739877344244144,0.0,9
0.01,30.0,0.3,6,1,0.6137867662853758,0.6750253799311068,0.0,9
0.01,30.0,0.3,6,2,0.4864919220597067,0.6742179413105592,0.0,9
0.01,30.0,0.3,6,3,0.6340418060101483,0.6740717483318507,0.0,9
0.01,30.0,0.3,6,4,0.40179183460392304,0.6745917147557526,0.0,9
0.01,30.0,0.3,7,0,1.2657363103866495,0.6465971018774899,0.0,9
0.01,30.0,0.3,7,1,0.5036271276079328,0.6472244117135679,0.0,9
0.01,30.0,0.3,7,2,1.0619033486418497,0.6485106652641396,0.0,9
0.01,30.0,0.3,7,3,0.6253631489157165,0.6466431175185103,0.0,9
0.01,30.0,0.3,7,4,1.2723307033504925,0.6463431211786308,0.0,9
0.03,0.3,0.009,0,0,0.28685818881895614,0.9325351850666007,0.14285714285714285,9
0.03,0.3,0.009,0,1,0.3572750565904906,0.9269455277555598,0.0,9
0.03,0.3,0.009,0,2,0.3458266608860365,0.9232099595848612,0.14285714285714285,9
0.03,0.3,0.009,0,3,0.3185939747211995,0.9289044913478259,0.14285714285714285,9
0.03,0.3,0.009,0,4,0.2795077429666723,0.9221734240071918,0.2857142857142857,9
0.03,0.3,0.009,1,0,0.2999126795591937,0.7157974456687989,0.14285714285714285,9
0.03,0.3,0.009,1,1,0.19675561075598114,0.7144500735797914,0.2857142857142857,9
0.03,0.3,0.009,1,2,0.2734206661828093,0.7057512050479277,0.0,9
0.03,0.3,0.009,1,3,0.09512718357163068,0.7146632141275663,0.42857142857142855,9
0.03,0.3,0.009,1,4,0.2702452485484319,0.7137836253282699,0.2857142857142857,9
0.03,0.3,0.009,2,0,0.2157666070261,0.8595054607120339,0.0,9
0.03,0.3,0.009,2,1,0.1460983907080312,0.8587167892740947,0.14285714285714285,9
0.03,0.3,0.009,2,2,0.1885001644777441,0.8529260302091767,0.0,9
0.03,0.3,0.009,2,3,0.35610610685611216,0.8587824218799974,0.14285714285714285,9
0.03,0.3,0.009,2,4,0.22961987390845928,0.8559134490898547,0.0,9
0.03,0.3,0.009,3,0,0.15391555863097278,0.6680921357997524,0.14285714285714285,9
0.03,0.3,0.009,3,1,0.19091942852950464,0.6777828095662591,0.14285714285714285,9
0.03,0.3,0.009,3,2,0.2266150007093637,0.6708744600473243,0.0,9
0.03,0.3,0.009,3,3,0.18065191147892387,0.6723565649355276,0.14285714285714285,9
0.03,0.3,0.009,3,4,0.2208108168316105,0.6712133799167429,0.0,9
0.03,0.3,0.009,4,0,0.4360683921967703,0.9647520064461468,0.14285714285714285,9
0.03,0.3,0.009,4,1,0.4316363003369181,0.9632654441856523,0.14285714285714285,9
0.03,0.3,0.009,4,2,0.29089622254791025,0.954909701400236,0.42857142857142855,9
0.03,0.3,0.009,4,3,0.20926584891449201,0.9591009744016208,0.5714285714285714,9
0.03,0.3,0.009,4,4,0.2920850594241873,0.9666177404017045,0.14285714285714285,9
0.03,0.3,0.009,5,0,0.14043170965785529,0.7867418666770839,0.14285714285714285,9
0.03,0.3,0.009,5,1,0.26659840835083704,0.7794087352437786,0.0,9
0.03,0.3,0.009,5,2,0.08942757541985272,0.7809459892988754,0.14285714285714285,9
0.03,0.3,0.009,5,3,0.17394983394917604,0.785144340230625,0.14285714285714285,9
0.03,0.3,0.009,5,4,0.2610375500612162,0.7812808683155613,0.0,9
0.03,0.3,0.009,6,0,0.4780534267066515,0.7895100423264875,0.0,9
0.03,0.3,0.009,6,1,0.1966541202862954,0.7909138009630109,0.42857142857142855,9
0.03,0.3,0.009,6,2,0.3342705535386425,0.7929353357378556,0.14285714285714285,9
0.03,0.3,0.009,6,3,0.12757565827270909,0.7884079962056444,0.14285714285714285,9
0.03,0.3,0.009,6,4,0.20007196775034303,0.7924824825577957,0.2857142857142857,9
0.03,0.3,0.009,7,0,0.13013769737192926,0.7650088271847388,0.2857142857142857,9
0.03,0.3,0.009,7,1,0.1454156171827267,0.7607775385822142,0.14285714285714285,9
0.03,0.3,0.009,7,2,0.11944816760516173,0.7611797742277607,0.2857142857142857,9
0.03,0.3,0.009,7,3,0.1603423161783956,0.7610919202240397,0.14285714285714285,9
0.03,0.3,0.009,7,4,0.20426397972242247,0.7637345541690876,0.14285714285714285,9
0.03,1.0,0.03,0,0,0.7569739638693965,0.9213290600571433,0.0,9
0.03,1.0,0.03,0,1,0.2198091429452238,0.9157641360556376,0.14285714285714285,9
0.03,1.0,0.03,0,2,0.3489088475224955,0.9122408674875139,0.0,9
0.03,1.0,0.03,0,3,0.3474326908159581,0.9179459887239515,0.14285714285714285,9
0.03,1.0,0.03,0,4,0.5803147078841489,0.9111733112682594,0.0,9
0.03,1.0,0.03,1,0,0.06724240980260592,0.7061684437643865,0.2857142857142857,9
0.03,1.0,0.03,1,1,0.23072142280054617,0.7047712993530175,0.0,9
0.03,1.0,0.03,1,2,0.40237717993627753,0.6960834853267145,0.0,9
0.03,1.0,0.03,1,3,0.7310302902629685,0.70499737746623,0.0,9
0.03,1.0,0.03,1,4,0.38409627817037817,0.704147581768737,0.0,9
