noise_sigma,ratio,regularization,latent_index,first_repetition,second_repetition,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,10.0,0.1,6,1,3,0.2,0.518014186301941,95.07546375495187
0.01,10.0,0.1,6,1,4,0.2857142857142857,0.52629184824973,95.0956404172298
0.01,10.0,0.1,6,2,3,0.38461538461538464,0.49607357793804696,69.4229455660942
0.01,10.0,0.1,6,2,4,0.5,0.5169129291391416,70.04272850434732
0.01,10.0,0.1,6,3,4,0.5,0.5653349467821401,67.90599357469354
0.01,10.0,0.1,7,0,1,0.5,0.6236107969596774,61.1818668357528
0.01,10.0,0.1,7,0,2,0.8,0.5743442963939349,32.793969194395785
0.01,10.0,0.1,7,0,3,0.38461538461538464,0.5569869630379071,72.84158306761499
0.01,10.0,0.1,7,0,4,0.6363636363636364,0.5498087515033934,52.03515793479084
0.01,10.0,0.1,7,1,2,0.6363636363636364,0.5315058437472049,37.579552530427684
0.01,10.0,0.1,7,1,3,0.8,0.568326437078192,40.928278289600414
0.01,10.0,0.1,7,1,4,0.5,0.6261793169898597,53.5890379232897
0.01,10.0,0.1,7,2,3,0.5,0.5681207076323848,51.822446139007596
0.01,10.0,0.1,7,2,4,0.8,0.5461111379369233,34.986549532437515
0.01,10.0,0.1,7,3,4,0.6363636363636364,0.5050331588957391,36.67784815247224
0.01,30.0,0.3,0,0,1,0.5,0.481759969358237,60.74387471833943
0.01,30.0,0.3,0,0,2,0.6363636363636364,0.41633388986524456,87.35268814358679
0.01,30.0,0.3,0,0,3,0.6363636363636364,0.5773002806057596,68.3996188803833
0.01,30.0,0.3,0,0,4,0.38461538461538464,0.4786775819481049,74.3390471313273
0.01,30.0,0.3,0,1,2,0.5,0.41459192112028154,95.4775920912133
