epsilon,input_distance,hard_baseline_distance,hard_amplification,persistence_distance,persistence_bound,persistence_bound_ratio
0.1,0.20000000000000018,4.1,20.49999999999998,0.39999999999999947,0.8000000000000007,0.4999999999999989
0.01,0.019999999999999796,4.01,200.50000000000205,0.03999999999999915,0.07999999999999918,0.49999999999999445
0.001,0.0019999999999997797,4.0009999999999994,2000.50000000022,0.003999999999998671,0.007999999999999119,0.499999999999889
0.0001,0.00020000000000020002,4.0001,20000.499999979995,0.00039999999999906777,0.0008000000000008001,0.49999999999833467
1e-05,2.0000000000131024e-05,4.00001,200000.49999868975,3.999999999937387e-05,8.00000000005241e-05,0.49999999998889777
1e-06,2.0000000000575113e-06,4.000001,2000000.4999424887,4.000000000559112e-06,8.000000000230045e-06,0.5000000000555112
1e-07,1.9999999989472883e-07,4.000000099999999,20000000.510527115,3.9999999934536845e-07,7.999999995789153e-07,0.4999999994448885
1e-08,1.999999987845058e-08,4.00000001,200000001.71549422,3.999999975690116e-08,7.999999951380232e-08,0.5
