cell,signal,design,variance_profile,n,trial,method,kappa,target_left,target_right,confidence_left,confidence_right,confidence_width,covers_target,empty,joint_contrast_coverage,unexplained_empty,scale_upper,scale_ratio_to_true_max,scale_covers
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,12,oracle_variances,1.0,0.3,0.3,0.25748502994011974,0.4151696606786427,0.15768463073852296,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,12,unknown_heteroskedastic,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.11983225855721441,1.198322585572144,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,13,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,13,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.1215575070374829,1.215575070374829,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,14,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,14,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.11963683678342883,1.1963683678342882,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,15,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,15,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,False,True,False,0.11731600721118422,1.1731600721118423,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,16,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,16,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.1157816697394575,1.157816697394575,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,17,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,17,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11165255908135154,1.1165255908135152,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,18,oracle_variances,1.0,0.3,0.3,0.1936127744510978,0.3992015968063872,0.2055888223552894,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,18,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.11548436187975873,1.1548436187975872,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,19,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,19,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11661035680807326,1.1661035680807326,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,20,oracle_variances,1.0,0.3,0.3,0.4171656686626746,0.4151696606786427,nan,False,True,False,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,20,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,False,False,0.10760787360966383,1.0760787360966382,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,21,oracle_variances,1.0,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,21,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.11672520050530419,1.1672520050530417,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,22,oracle_variances,1.0,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,22,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.3992015968063872,0.2055888223552894,True,False,True,False,0.12909908970783493,1.2909908970783492,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,23,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,23,unknown_heteroskedastic,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.12508450752249273,1.2508450752249272,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,24,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,24,unknown_heteroskedastic,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.11264816791970271,1.1264816791970271,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,25,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,25,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.12296413587331363,1.2296413587331363,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,26,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,26,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.12839034383928452,1.2839034383928452,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,27,oracle_variances,1.0,0.3,0.3,0.5429141716566867,0.4151696606786427,nan,False,True,False,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,27,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11962161272514657,1.1962161272514655,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,28,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,28,unknown_heteroskedastic,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.10846982051605025,1.0846982051605025,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,29,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,29,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.12109026935490362,1.2109026935490361,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,30,oracle_variances,1.0,0.3,0.3,0.1936127744510978,0.3992015968063872,0.2055888223552894,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,30,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4471057884231537,0.25349301397205587,True,False,True,False,0.12373451331697295,1.2373451331697294,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,31,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
