cell,signal,design,variance_profile,n,method,kappa,coverage,mean_width,median_width,empty_count,unexplained_empty_count,joint_contrast_coverage,scale_coverage,mean_scale_ratio_to_true_max
paper_f1_cusp__beta_4_8__plume_peak__n500,paper_f1_cusp,beta_4_8,plume_peak,500,oracle_variances,4.378688300458551,0.99,0.06034764413969429,0.06514966239361131,1,0,0.97,1.0,1.0
paper_f1_cusp__beta_4_8__plume_peak__n500,paper_f1_cusp,beta_4_8,plume_peak,500,unknown_heteroskedastic,4.378688300458551,1.0,0.36867439770968813,0.3584958795579063,0,0,1.0,1.0,1.5161881979408418
paper_f2_onset__beta_4_8__constant__n500,paper_f2_onset,beta_4_8,constant,500,oracle_variances,1.0,0.98,0.7836066325410687,0.8148959245379948,0,0,0.96,1.0,1.0
paper_f2_onset__beta_4_8__constant__n500,paper_f2_onset,beta_4_8,constant,500,unknown_heteroskedastic,1.0,1.0,0.8339202380374673,0.8148959245379948,0,0,0.995,1.0,1.1686713819901369
paper_f2_onset__beta_4_8__linear__n500,paper_f2_onset,beta_4_8,linear,500,oracle_variances,1.6605267461488853,0.99,0.7910209332872736,0.8148959245379948,0,0,0.99,1.0,1.0
paper_f2_onset__beta_4_8__linear__n500,paper_f2_onset,beta_4_8,linear,500,unknown_heteroskedastic,1.6605267461488853,1.0,0.9534602621278405,0.946485218899765,0,0,1.0,1.0,1.2372529173242928
paper_f2_onset__beta_4_8__plume_peak__n500,paper_f2_onset,beta_4_8,plume_peak,500,oracle_variances,4.378688300458551,0.965,0.7492730233215624,0.7607758772828368,3,0,0.94,1.0,1.0
paper_f2_onset__beta_4_8__plume_peak__n500,paper_f2_onset,beta_4_8,plume_peak,500,unknown_heteroskedastic,4.378688300458551,1.0,1.0,1.0,0,0,1.0,1.0,1.5157210320487686
paper_f3_jump__beta_4_8__constant__n500,paper_f3_jump,beta_4_8,constant,500,oracle_variances,1.0,0.965,0.004193370372882142,0.0034003578114527033,7,0,0.95,1.0,1.0
paper_f3_jump__beta_4_8__constant__n500,paper_f3_jump,beta_4_8,constant,500,unknown_heteroskedastic,1.0,1.0,0.00978217285171376,0.008841972311301072,0,0,1.0,1.0,1.2749159103666756
paper_f3_jump__beta_4_8__linear__n500,paper_f3_jump,beta_4_8,linear,500,oracle_variances,1.6605267461488853,0.985,0.003966635897886351,0.0034003578114527033,3,0,0.965,1.0,1.0
paper_f3_jump__beta_4_8__linear__n500,paper_f3_jump,beta_4_8,linear,500,unknown_heteroskedastic,1.6605267461488853,1.0,0.01914330002420952,0.018373849970266865,0,0,1.0,1.0,1.3611388726563909
paper_f3_jump__beta_4_8__plume_peak__n500,paper_f3_jump,beta_4_8,plume_peak,500,oracle_variances,4.378688300458551,0.98,0.0020539646648161467,0.002040155394034293,3,0,0.96,1.0,1.0
paper_f3_jump__beta_4_8__plume_peak__n500,paper_f3_jump,beta_4_8,plume_peak,500,unknown_heteroskedastic,4.378688300458551,1.0,0.0839524975591196,0.07636130621086468,0,0,1.0,1.0,1.6557935136320914
paper_f4_logistic__beta_4_8__constant__n500,paper_f4_logistic,beta_4_8,constant,500,oracle_variances,1.0,0.97,0.9780578274682441,1.0,0,0,0.955,1.0,1.0
paper_f4_logistic__beta_4_8__constant__n500,paper_f4_logistic,beta_4_8,constant,500,unknown_heteroskedastic,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.1728251841871684
paper_f4_logistic__beta_4_8__linear__n500,paper_f4_logistic,beta_4_8,linear,500,oracle_variances,1.6605267461488853,0.965,0.9648693062646703,1.0,0,0,0.95,1.0,1.0
paper_f4_logistic__beta_4_8__linear__n500,paper_f4_logistic,beta_4_8,linear,500,unknown_heteroskedastic,1.6605267461488853,1.0,1.0,1.0,0,0,1.0,1.0,1.2386383039591282
paper_f4_logistic__beta_4_8__plume_peak__n500,paper_f4_logistic,beta_4_8,plume_peak,500,oracle_variances,4.378688300458551,0.95,0.9524046384789016,1.0,1,0,0.91,1.0,1.0
paper_f4_logistic__beta_4_8__plume_peak__n500,paper_f4_logistic,beta_4_8,plume_peak,500,unknown_heteroskedastic,4.378688300458551,1.0,1.0,1.0,0,0,1.0,1.0,1.5259787758414796
paper_f1_cusp__uniform__constant__n1000,paper_f1_cusp,uniform,constant,1000,oracle_variances,1.0,0.98,0.12045097759383475,0.1108891108891109,4,0,0.96,1.0,1.0
