kappa,upper_noise_scale,concentration_denominator,left_normalized,right_normalized,left_metres,right_metres,width_metres,empty,positive_contrasts,negative_contrasts
1.0,0.10627387718018762,0.5917072212762758,0.363636363636364,0.83030303030303,510.0000000000001,663.9999999999999,153.99999999999977,False,11,3
1.5,0.1416003255709017,0.49994551323189795,0.290909090909091,1.0,486.0,720.0,233.99999999999997,False,7,0
2.0,0.1778430862883575,0.42258681490991223,0.145454545454545,1.0,437.99999999999983,720.0,282.0000000000001,False,5,0
3.0,0.261663450877899,0.2928161628870326,0.0,1.0,390.0,720.0,330.0,False,1,0
4.0,0.3817624336262752,0.18341444255255168,0.0,1.0,390.0,720.0,330.0,False,0,0
