dataset,assignment,train_size,test_size,length,class_count,method,accuracy,balanced_accuracy,macro_f1,transform_seconds,head_fit_seconds,head_predict_seconds,feature_count,representation_seconds
Chinatown,discovery,20,343,24,2,hcrd_hybrid,0.9620991253644315,0.9705844655216611,0.9539896608298164,0.07472569996025413,0.015186900040134788,0.02739930001553148,10591,31.87383270007558
ChlorineConcentration,discovery,467,3840,166,3,raw_minirocket,0.76015625,0.6972441918478635,0.7132094777424652,0.505835400079377,0.3100752999307588,0.13028140005189925,9996,0.2603121999418363
ChlorineConcentration,discovery,467,3840,166,3,wavelet_minirocket,0.77734375,0.7174772423053355,0.7359237614925126,2.403695199987851,0.3165423000464216,0.13349090004339814,9996,2.6301318000769243
ChlorineConcentration,discovery,467,3840,166,3,hcrd_minirocket,0.6122395833333333,0.5141721041066375,0.5260153913672655,2.6001745000248775,0.30580199998803437,0.12821200001053512,9996,58.885451999958605
ChlorineConcentration,discovery,467,3840,166,3,hcrd_energy,0.5533854166666666,0.36428404539692877,0.2922730644189151,0.0,0.02946170000359416,0.003065000055357814,85,58.885451999958605
ChlorineConcentration,discovery,467,3840,166,3,hcrd_structure,0.55078125,0.39658702608179836,0.37020721453398003,0.0,0.1168836000142619,0.01327220001257956,595,58.885451999958605
ChlorineConcentration,discovery,467,3840,166,3,hcrd_hybrid,0.6078125,0.5079705025662888,0.5198068928711584,2.6001745000248775,0.30671059992164373,0.2739556999877095,10591,58.885451999958605
CinCECGTorso,discovery,40,1380,1639,4,raw_minirocket,0.8528985507246377,0.8527513215158571,0.8538588334577292,1.1118572999257594,0.01697200001217425,0.04289849998895079,9996,0.0814016000367701
CinCECGTorso,discovery,40,1380,1639,4,wavelet_minirocket,0.9355072463768116,0.9354349716349437,0.9362324948107579,18.244139299960807,0.01893640006892383,0.04642269993200898,9996,0.855495199910365
CinCECGTorso,discovery,40,1380,1639,4,hcrd_minirocket,0.8130434782608695,0.8134605850621822,0.8135851783016657,19.20681380003225,0.014492499991320074,0.0400943000568077,9996,79.97578740003519
CinCECGTorso,discovery,40,1380,1639,4,hcrd_energy,0.7347826086956522,0.7357170803376379,0.7271210215567931,0.0,0.003942099981941283,0.0011625000042840838,85,79.97578740003519
CinCECGTorso,discovery,40,1380,1639,4,hcrd_structure,0.9347826086956522,0.9355350962440113,0.9348179852545834,0.0,0.003960800007916987,0.004825200070627034,595,79.97578740003519
CinCECGTorso,discovery,40,1380,1639,4,hcrd_hybrid,0.8594202898550725,0.8600566115080662,0.8589725548072243,19.20681380003225,0.015101400087587535,0.075861900113523,10591,79.97578740003519
Computers,discovery,250,250,720,2,raw_minirocket,0.744,0.744,0.742947111368164,0.30181559990160167,0.10928529989905655,0.007741200039163232,9996,0.021106700063683093
Computers,discovery,250,250,720,2,wavelet_minirocket,0.744,0.744,0.7431946584488958,1.309960399987176,0.1160822999663651,0.008645700057968497,9996,0.23580999998375773
Computers,discovery,250,250,720,2,hcrd_minirocket,0.78,0.78,0.7799964799436792,1.2491984000662342,0.16712419991381466,0.009877400007098913,9996,26.56789690000005
Computers,discovery,250,250,720,2,hcrd_energy,0.668,0.668,0.6679946879150066,0.0,0.03431849996559322,0.0006369000766426325,85,26.56789690000005
Computers,discovery,250,250,720,2,hcrd_structure,0.656,0.656,0.6558017418032787,0.0,0.0407681999495253,0.0015656000468879938,595,26.56789690000005
Computers,discovery,250,250,720,2,hcrd_hybrid,0.772,0.772,0.7719963519416311,1.2491984000662342,0.12597289995756,0.01679540006443858,10591,26.56789690000005
CricketX,discovery,390,390,300,12,raw_minirocket,0.8256410256410256,0.8354271799393715,0.8281978942464029,0.2545200999593362,0.237899599946104,0.01535250002052635,9996,0.04743240005336702
