kpi_id,length,anomaly_points,anomaly_occupancy,max_run,max_run_fraction,primary_sparse_transient,canonical_series_sha256,raw_sr_auc_pr,raw_sr_auc_roc,raw_abs_auc_pr,raw_abs_auc_roc,hcrd_area_sr_auc_pr,hcrd_area_sr_auc_roc,hcrd_direct_auc_pr,hcrd_direct_auc_roc
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,146255,1285,0.0087860244094219,219,0.0014973847047964,True,d4972d007670d9c17d9477bd92cf6986ab462b113abc006b5b6a0bb19313c56f,0.3669198338409589,0.8328069915981544,0.4592906636612763,0.8069198994344463,0.220585855245839,0.789917130311947,0.6112986668939058,0.9852886992049072
0efb375b-b902-3661-ab23-9a0bb799f4e3,8784,13,0.0014799635701275,4,0.000455373406193,True,3c4cde60d864d3ea17f8325dffcbf983038a31f7dcdae9b1cfd9cc9896d14d4e,0.3109482194541267,0.737044280539891,0.1587142020276981,0.5964322987467441,0.597279273305859,0.9898441542495812,0.3809703955260326,0.6375029599291372
1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,146254,1064,0.0072750147004526,227,0.0015520943016943,True,7104210596864fa104158c09fcd7f55d31f5e1cc2b9840d138d9b4657c8a94c9,0.4758512764577243,0.843448855194671,0.5770477084616196,0.8227842198736735,0.3550863839323943,0.8123194419342661,0.651729699794287,0.9442396293526708
301c70d8-1630-35ac-8f96-bc1b6f4359ea,8784,114,0.0129781420765027,10,0.0011384335154826,False,27944d158da508de9b42156ac17b6a451052613a2e5dcdea657d76ce07e38e20,0.2629365847245143,0.8092049616544243,0.0200809216893852,0.6256834415912907,0.3102551024819088,0.8474392440154597,0.2189145291905053,0.7919514761528967
42d6616d-c9c5-370a-a8ba-17ead74f3114,146253,1407,0.009620315480708,353,0.0024136257034043,True,48eb9f6f8acdcb75da3540a4dd21d388863a54dc3b71def728748be457377125,0.3717704123903045,0.8344492649944389,0.63505329085023,0.8137037114564662,0.2233863220298854,0.8140202793230065,0.6178266684996385,0.9602839639670832
43115f2a-baeb-3b01-96f7-4ea14188343c,108071,5609,0.0519010650405751,3016,0.0279075792765866,False,885ecbdf21475fcc0b7a0d54ed2ae5fb904fb9aabd0e509e1058f1df4264ca86,0.3204169166529435,0.7073941607890087,0.907644483548162,0.9572597624206426,0.264274399550751,0.7119080563153106,0.9328271804787832,0.9885095337180853
431a8542-c468-3988-a508-3afd06a218da,129046,8222,0.0637137144894068,6648,0.0515165134913131,False,cf908ed61cb31bdc6134ca47d88297d295ba99b754275e41eae32e303149a175,0.192065197872485,0.3132771536124933,0.777926346896744,0.9440135647931396,0.1514577118874886,0.4549796688780984,0.7514657890292358,0.9843834665025288
4d2af31a-9916-3d9f-8a8e-8a268a48c095,128872,7396,0.0573902787261779,6628,0.0514308771494195,False,48e894de736cfde4130da46bdca345b711fe6e7e02e52e0d0a343629e7d73623,0.0770174643032213,0.4709874341524969,0.4594867222439147,0.9552440048027612,0.0837702451075356,0.5570771181138661,0.1299070027574738,0.4530077799733549
54350a12-7a9d-3ca8-b81f-f886b9d156fd,8866,62,0.0069930069930069,43,0.0048499887209564,True,f5a22da61523f14c29095c70a741de3166bc10263d3b5fee1d97282347bdd06d,0.0862061126065245,0.8056235435505855,0.315541551086432,0.807676312819686,0.0340253956618464,0.7780334452081898,0.1169615869474114,0.911416731397752
55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,146204,3867,0.0264493447511696,445,0.0030436923750376,False,bfcda934e3a3aa2b4cb20a6b0d08dee96c1a3d1d115ab5f7be4ca98993da4cde,0.1074397478107991,0.6501204025828562,0.0554916873877117,0.6035027524095501,0.0743005174401716,0.6395905550033714,0.1048842351331639,0.6805758809719128
57051487-3a40-3828-9084-a12f7f23ee38,128787,105,0.0008152996808684,14,0.0001087066241157,True,4208d0c62c1cd2ee7a189f6f28c997a7abfeec295da3f0e5fb7704a6f2f3c9b7,0.8907534238613757,0.9993099267962884,0.7834542410337375,0.9037156193821462,0.779232860751965,0.9995256671854796,0.0525469529023364,0.9708962884511912
6a757df4-95e5-3357-8406-165e2bd49360,129010,6853,0.0531199131850244,6635,0.0514301216959925,False,b74f4fd43aa5c6cb516debf180ed93ce32eea883928c64ff0976f45fa1bb02d9,0.0920529706625235,0.603363181713128,0.2844558422822816,0.9266591638050342,0.1104331728136997,0.6527471116811985,0.1012343602997213,0.5828793239945751
6d1114ae-be04-3c46-b5aa-be1a003a57cd,146239,360,0.002461723616819,44,0.0003008773309445,True,e6389626f2802909ba3a1066544f248abe84d13603d6dfc28669fd3b6e509ab0,0.255801737944501,0.8504340735967633,0.1304005317450974,0.7288277251847232,0.1670469604173528,0.7201978466171735,0.1942287127949715,0.8914642157770024
6efa3a07-4544-34a0-b921-a155bd1a05e8,145135,2767,0.0190650084404175,1488,0.0102525235125917,False,8ef147f8e28ae39245b68595ee50b85ba60fc4d4814d41fdd66c90def992f3f3,0.2115271218597291,0.8469778037165864,0.5159959653671038,0.8498869955447367,0.1394745196981774,0.796131614568775,0.2398632379648779,0.932970679354574
7103fa0f-cac4-314f-addc-866190247439,128992,110,0.0008527660630116,5,3.876209377325726e-05,True,b905585c40866301fc8029f83b5a99cbcce19ec45e8bc3eefd9a5b844c9275b1,0.324995080733394,0.939934062306465,0.3206295129084696,0.6829200001128587,0.4558782447093876,0.9778083828618428,0.0873837599679548,0.9120429751809618
847e8ecc-f8d2-3a93-9107-f367a0aab37d,146228,1121,0.0076661104576414,212,0.001449790737752,True,917f7e890e7ea4fec3057c9d18787621da93c6071b3c7751acc6999258d2e638,0.3598177852652617,0.8413796858151621,0.3501627671049948,0.7769040800166983,0.2330884113884014,0.8233496734855852,0.5550084047198882,0.9721846280747874
8723f0fb-eaef-32e6-b372-6034c9c04b80,146243,556,0.0038018913725785,68,0.0004649795203873,True,0f2cbee3cd925ea1f9c59fc4e9d3c17b82ca27c62e22d6c3d6f5415c8fc7824b,0.211586566143705,0.8198054857232365,0.0794410600934042,0.6568989024119067,0.1377208683348419,0.7584119680444323,0.1548617115826147,0.8526076994767485
9c639a46-34c8-39bc-aaf0-9144b37adfc8,108074,6095,0.056396543109351,3020,0.0279438162740344,False,3d0c88bfc16cd22647a45cf294a821690dadce5f28c80a313dcdc2aceeeb4097,0.310828046036345,0.6983880135980962,0.8941342575991138,0.958626307121202,0.279245358687233,0.7134466383607215,0.8823474871946391,0.9592303482256772
