cell,signal,design,n,trial,method,target_left,target_right,confidence_left,confidence_right,confidence_width,covers_target,nontrivial,empty,joint_contrast_coverage,unexplained_empty,scale_upper,scale_ratio,scale_covers
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,13,known_sigma,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,13,unknown_block_2,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,True,False,True,False,0.12355949965435539,1.2355949965435538,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,14,known_sigma,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,14,unknown_block_2,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,True,False,True,False,0.11815993258746703,1.1815993258746702,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,15,known_sigma,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,15,unknown_block_2,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,True,False,True,False,0.1188738236883059,1.188738236883059,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,16,known_sigma,0.3,0.3,0.22554890219560877,0.38323353293413176,0.15768463073852299,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,16,unknown_block_2,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,True,False,True,False,0.10145905647094504,1.0145905647094504,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,17,known_sigma,0.3,0.3,0.20958083832335328,0.4471057884231537,0.2375249500998004,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,17,unknown_block_2,0.3,0.3,0.1936127744510978,0.4471057884231537,0.25349301397205587,True,True,False,True,False,0.1080760571222705,1.0807605712227049,True
