kpi_id,hcrd_area_sr_auc_pr,hcrd_area_sr_auc_roc,hcrd_direct_auc_pr,hcrd_direct_auc_roc
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,0.22058585524583904,0.789917130311947,0.6112986668939058,0.9852886992049072
0efb375b-b902-3661-ab23-9a0bb799f4e3,0.597279273305859,0.9898441542495813,0.3809703955260326,0.6375029599291372
1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,0.35508638393239433,0.8123194419342661,0.651729699794287,0.9442396293526709
301c70d8-1630-35ac-8f96-bc1b6f4359ea,0.3102551024819088,0.8474392440154597,0.21891452919050539,0.7919514761528967
42d6616d-c9c5-370a-a8ba-17ead74f3114,0.22338632202988545,0.8140202793230065,0.6178266684996385,0.9602839639670832
43115f2a-baeb-3b01-96f7-4ea14188343c,0.26427439955075105,0.7119080563153106,0.9328271804787831,0.9885095337180851
431a8542-c468-3988-a508-3afd06a218da,0.15145771188748866,0.45497966887809843,0.7514657890292358,0.9843834665025287
4d2af31a-9916-3d9f-8a8e-8a268a48c095,0.08377024510753564,0.5570771181138661,0.12990700275747383,0.45300777997335495
54350a12-7a9d-3ca8-b81f-f886b9d156fd,0.034025395661846466,0.7780334452081898,0.11696158694741142,0.9114167313977519
55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,0.07430051744017167,0.6395905550033714,0.10488423513316393,0.6805758809719128
57051487-3a40-3828-9084-a12f7f23ee38,0.779232860751965,0.9995256671854797,0.05254695290233645,0.9708962884511912
6a757df4-95e5-3357-8406-165e2bd49360,0.11043317281369971,0.6527471116811985,0.1012343602997213,0.5828793239945751
6d1114ae-be04-3c46-b5aa-be1a003a57cd,0.1670469604173528,0.7201978466171735,0.19422871279497156,0.8914642157770024
6efa3a07-4544-34a0-b921-a155bd1a05e8,0.1394745196981774,0.796131614568775,0.23986323796487793,0.9329706793545741
7103fa0f-cac4-314f-addc-866190247439,0.4558782447093876,0.9778083828618427,0.08738375996795486,0.9120429751809618
847e8ecc-f8d2-3a93-9107-f367a0aab37d,0.23308841138840145,0.8233496734855852,0.5550084047198882,0.9721846280747874
8723f0fb-eaef-32e6-b372-6034c9c04b80,0.13772086833484198,0.7584119680444323,0.15486171158261475,0.8526076994767485
9c639a46-34c8-39bc-aaf0-9144b37adfc8,0.279245358687233,0.7134466383607215,0.8823474871946391,0.9592303482256771
a07ac296-de40-3a7c-8df3-91f642cc14d0,0.4157344785529363,0.7954384913310207,0.7215253263421342,0.9072655255640638
a8c06b47-cc41-3738-9110-12df0ee4c721,0.13826766579618416,0.6140992789223616,0.2731198763997205,0.886414790942678
ab216663-dcc2-3a24-b1ee-2c3e550e06c9,0.38784157392983926,0.9434890921020257,0.41908214543125977,0.7338939350446978
adb2fde9-8589-3f5b-a410-5fe14386c7af,0.25466226970286,0.8332121940513877,0.660836203835611,0.9434762021583245
ba5f3328-9f3f-3ff5-a683-84437d16d554,0.06909036246707911,0.6136854737055476,0.15244042350631914,0.7636359302426092
c02607e8-7399-3dde-9d28-8a8da5e5d251,1.0,1.0,0.6678166258210135,0.8944330523277891
c69a50cf-ee03-3bd7-831e-407d36c7ee91,0.3191102371695866,0.8522511409852097,0.6525901028372331,0.9862777131355419
da10a69f-d836-3baa-ad40-3e548ecf1fbd,0.08172908560500312,0.47661061182541875,0.110188380849049,0.3910546465863958
e0747cad-8dc8-38a9-a9ab-855b61f5551d,0.22870408127414288,0.942449425496404,0.8936467689360471,0.9734733620121172
f0932edd-6400-3e63-9559-0a9860a1baa9,0.061520165901146104,0.40388888849189014,0.06471443082774433,0.23930016653870265
ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa,0.06271661073068899,0.46950487161221083,0.0512349575879074,0.22036975872992165
