kpi_id,raw_sr_auc_pr,raw_sr_auc_roc,raw_abs_auc_pr,raw_abs_auc_roc
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,0.36691983384095894,0.8328069915981544,0.45929066366127635,0.8069198994344463
0efb375b-b902-3661-ab23-9a0bb799f4e3,0.31094821945412676,0.737044280539891,0.15871420202769812,0.5964322987467441
1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,0.47585127645772435,0.843448855194671,0.5770477084616196,0.8227842198736735
301c70d8-1630-35ac-8f96-bc1b6f4359ea,0.26293658472451437,0.8092049616544243,0.020080921689385276,0.6256834415912907
42d6616d-c9c5-370a-a8ba-17ead74f3114,0.37177041239030456,0.8344492649944389,0.63505329085023,0.8137037114564662
43115f2a-baeb-3b01-96f7-4ea14188343c,0.3204169166529435,0.7073941607890087,0.9076444835481619,0.9572597624206426
431a8542-c468-3988-a508-3afd06a218da,0.192065197872485,0.3132771536124933,0.777926346896744,0.9440135647931395
4d2af31a-9916-3d9f-8a8e-8a268a48c095,0.07701746430322137,0.4709874341524969,0.45948672224391474,0.9552440048027611
54350a12-7a9d-3ca8-b81f-f886b9d156fd,0.08620611260652454,0.8056235435505855,0.315541551086432,0.807676312819686
55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,0.10743974781079911,0.6501204025828562,0.055491687387711736,0.6035027524095501
57051487-3a40-3828-9084-a12f7f23ee38,0.8907534238613757,0.9993099267962885,0.7834542410337375,0.9037156193821462
6a757df4-95e5-3357-8406-165e2bd49360,0.09205297066252353,0.603363181713128,0.28445584228228166,0.9266591638050342
6d1114ae-be04-3c46-b5aa-be1a003a57cd,0.255801737944501,0.8504340735967633,0.13040053174509747,0.7288277251847232
6efa3a07-4544-34a0-b921-a155bd1a05e8,0.2115271218597291,0.8469778037165864,0.5159959653671038,0.8498869955447367
7103fa0f-cac4-314f-addc-866190247439,0.32499508073339406,0.939934062306465,0.32062951290846964,0.6829200001128587
847e8ecc-f8d2-3a93-9107-f367a0aab37d,0.35981778526526176,0.8413796858151621,0.35016276710499483,0.7769040800166983
8723f0fb-eaef-32e6-b372-6034c9c04b80,0.211586566143705,0.8198054857232365,0.0794410600934042,0.6568989024119067
9c639a46-34c8-39bc-aaf0-9144b37adfc8,0.310828046036345,0.6983880135980962,0.8941342575991138,0.9586263071212019
a07ac296-de40-3a7c-8df3-91f642cc14d0,0.4721742856033833,0.797439898390599,0.6236900650162313,0.8168639690389999
a8c06b47-cc41-3738-9110-12df0ee4c721,0.1912556431735702,0.7380720646863114,0.6115509853325777,0.9258428558255305
ab216663-dcc2-3a24-b1ee-2c3e550e06c9,0.23751608163244847,0.7871873205937832,0.08778261585659033,0.7239274071188387
adb2fde9-8589-3f5b-a410-5fe14386c7af,0.39015265565011376,0.8279310619473785,0.63594786284187,0.8223673198720334
ba5f3328-9f3f-3ff5-a683-84437d16d554,0.11087555421721719,0.6598110298785038,0.033739268656935155,0.5261279807204381
c02607e8-7399-3dde-9d28-8a8da5e5d251,0.4181961197958926,0.9919495708969394,0.3338038164509375,0.5038543328017012
c69a50cf-ee03-3bd7-831e-407d36c7ee91,0.54253621986553,0.8848699766593817,0.6645502574690294,0.8548921535450762
da10a69f-d836-3baa-ad40-3e548ecf1fbd,0.08594702293040926,0.417553142603149,0.07419114224422123,0.46204987380121876
e0747cad-8dc8-38a9-a9ab-855b61f5551d,0.1594216335874293,0.675839423553967,0.12745759256192962,0.8401943426830129
f0932edd-6400-3e63-9559-0a9860a1baa9,0.07428738856694524,0.2850817424374491,0.564346070017955,0.9586431928344586
ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa,0.048030332988903884,0.3729696379565933,0.32500305531572793,0.9381549663827072
